,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.5028266950068424,0.1045405469762544,-0.056315117972588015,0.0750869956536665,-0.015948049157797,-0.20465447191359887,0.017316938552620915,0.006152990826372192,-0.10361035783812232,0.03220791057288202,-0.1272743294623698,0.10382313492410392,-0.04714311119229286,0.03220791057288202
statusS,0.5028266950068424,1.0,0.19934449929804376,-0.102873800636801,0.05493346110608602,0.05428488222987558,-0.15440822534899695,-0.0546975514594714,-0.12484218372576784,-0.037717396917678905,0.17215596610356507,0.03757845341665951,0.19862550378465077,-0.09228554310504493,0.17215596610356507
tempC,0.1045405469762544,0.19934449929804376,1.0,-0.30267024730311143,0.251215131062726,0.19554000492664234,-0.6193141026524127,-0.1245470248506821,-0.4534746301356651,-0.08804207921950127,0.896808563910902,0.3598592297370244,0.9996832815362331,-0.3218454508352665,0.896808563910902
windspeedKmph,-0.056315117972588015,-0.102873800636801,-0.30267024730311143,1.0,-0.3299581850723373,-0.06497876517986179,-0.15976094753613712,0.020219199964821376,0.1825655399099978,-0.10949202449325433,-0.4719917743836042,-0.5209297855394135,-0.30278778529420164,0.9798391400523543,-0.4719917743836042
cond,0.0750869956536665,0.05493346110608602,0.251215131062726,-0.3299581850723373,1.0,-0.19352074535082742,-0.21897024416291436,0.1154045254744723,0.06094447743404405,-0.30671747046336356,0.23872118206807624,0.06466813498533833,0.25079700826887885,-0.3670706093487874,0.23872118206807624
precipMM,-0.015948049157797,0.05428488222987558,0.19554000492664234,-0.06497876517986179,-0.19352074535082742,1.0,0.22952891783678028,-0.7455682433495892,-0.5525715061034853,0.46717476275167885,0.3435465948910843,0.4880619543390784,0.19546287527919037,0.03951932334587155,0.3435465948910843
humidity,-0.20465447191359887,-0.15440822534899695,-0.6193141026524127,-0.15976094753613712,-0.21897024416291436,0.22952891783678028,1.0,-0.22144034252722727,-0.10446776904935781,0.3024098134791538,-0.28575330181793407,0.43734309590795756,-0.6195738928526473,-0.08863077625858018,-0.28575330181793407
visibility,0.017316938552620915,-0.0546975514594714,-0.1245470248506821,0.020219199964821376,0.1154045254744723,-0.7455682433495892,-0.22144034252722727,1.0,0.4330415251852217,-0.3703956912130903,-0.26099091283326536,-0.39871684294905196,-0.12441600413018618,-0.08427121886542216,-0.26099091283326536
pressure,0.006152990826372192,-0.12484218372576784,-0.4534746301356651,0.1825655399099978,0.06094447743404405,-0.5525715061034853,-0.10446776904935781,0.4330415251852217,1.0,-0.24085027900174058,-0.6103377345399118,-0.6502451540225855,-0.45319127163127,0.11911872796281464,-0.6103377345399118
cloudcover,-0.10361035783812232,-0.037717396917678905,-0.08804207921950127,-0.10949202449325433,-0.30671747046336356,0.46717476275167885,0.3024098134791538,-0.3703956912130903,-0.24085027900174058,1.0,0.03277902781481454,0.23278708049329547,-0.08797996260438704,-0.04131330453125981,0.03277902781481454
heatIndexC,0.03220791057288202,0.17215596610356507,0.896808563910902,-0.4719917743836042,0.23872118206807624,0.3435465948910843,-0.28575330181793407,-0.26099091283326536,-0.6103377345399118,0.03277902781481454,1.0,0.6961230211255932,0.8968365373072057,-0.4573684031240764,1.0
dewPointC,-0.1272743294623698,0.03757845341665951,0.3598592297370244,-0.5209297855394135,0.06466813498533833,0.4880619543390784,0.43734309590795756,-0.39871684294905196,-0.6502451540225855,0.23278708049329547,0.6961230211255932,1.0,0.35957042793447486,-0.4601547492415419,0.6961230211255932
windChillC,0.10382313492410392,0.19862550378465077,0.9996832815362331,-0.30278778529420164,0.25079700826887885,0.19546287527919037,-0.6195738928526473,-0.12441600413018618,-0.45319127163127,-0.08797996260438704,0.8968365373072057,0.35957042793447486,1.0,-0.32214732211980496,0.8968365373072057
windGustKmph,-0.04714311119229286,-0.09228554310504493,-0.3218454508352665,0.9798391400523543,-0.3670706093487874,0.03951932334587155,-0.08863077625858018,-0.08427121886542216,0.11911872796281464,-0.04131330453125981,-0.4573684031240764,-0.4601547492415419,-0.32214732211980496,1.0,-0.4573684031240764
feelsLikeC,0.03220791057288202,0.17215596610356507,0.896808563910902,-0.4719917743836042,0.23872118206807624,0.3435465948910843,-0.28575330181793407,-0.26099091283326536,-0.6103377345399118,0.03277902781481454,1.0,0.6961230211255932,0.8968365373072057,-0.4573684031240764,1.0
