,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.39110554368012285,0.18960137712278965,0.30930696923509504,0.12521412664572493,-0.28302008508129106,0.014588502907630389,0.18790920587722018,0.18111289537707892,-0.062084790133799056,0.04472607779369661,0.11210747353477447
statusS,0.39110554368012285,1.0,0.14992129814539848,0.034525247809595996,0.16662054110675548,-0.0788651048398216,-0.005769156197830956,0.06234084572559257,0.048663297065019456,0.01395821217157597,0.07368842635515814,0.04432765700348775
temperatureC,0.18960137712278965,0.14992129814539848,1.0,0.4209522374232714,0.45982689058775567,-0.40196844594842873,-0.20076110528204766,-0.13078256094806032,-0.009213365131029942,0.0230678996292129,0.511642224386312,-0.1441279300183735
dewpointC,0.30930696923509504,0.034525247809595996,0.4209522374232714,1.0,0.2542590198034165,-0.6645986633888583,-0.033019830514855436,0.2764247524300409,0.255893496831,-0.12462806178882921,-0.015258288894987608,0.23801035276721305
windspeedKMH,0.12521412664572493,0.16662054110675548,0.45982689058775567,0.2542590198034165,1.0,-0.3357397125232445,-0.12088725557296334,0.1596423919674611,0.18237942510956404,-0.06630875361293567,0.2985016756360962,0.14563392164012248
pressureMB,-0.28302008508129106,-0.0788651048398216,-0.40196844594842873,-0.6645986633888583,-0.3357397125232445,1.0,0.19700155358839166,-0.22750475062894532,-0.22671775435763655,0.13322038140775969,0.041037351701465524,-0.24885268040692243
pressureTendencyMB,0.014588502907630389,-0.005769156197830956,-0.20076110528204766,-0.033019830514855436,-0.12088725557296334,0.19700155358839166,1.0,-0.05220359849442982,-0.11610399708954668,-0.056388977153268224,-0.1356999517739613,0.042478554816580465
cloudCoverOKTA,0.18790920587722018,0.06234084572559257,-0.13078256094806032,0.2764247524300409,0.1596423919674611,-0.22750475062894532,-0.05220359849442982,1.0,0.7473174348964541,-0.16026117433652404,-0.10845042929652456,0.40634113172817243
lowCloudCoverOKTA,0.18111289537707892,0.048663297065019456,-0.009213365131029942,0.255893496831,0.18237942510956404,-0.22671775435763655,-0.11610399708954668,0.7473174348964541,1.0,-0.08557422571630474,-0.11492484746599861,0.3648449298040951
HKm,-0.062084790133799056,0.01395821217157597,0.0230678996292129,-0.12462806178882921,-0.06630875361293567,0.13322038140775969,-0.056388977153268224,-0.16026117433652404,-0.08557422571630474,1.0,0.1049186088886202,-0.23083270260040548
visibilityKM,0.04472607779369661,0.07368842635515814,0.511642224386312,-0.015258288894987608,0.2985016756360962,0.041037351701465524,-0.1356999517739613,-0.10845042929652456,-0.11492484746599861,0.1049186088886202,1.0,-0.2189721760413579
precipMM,0.11210747353477447,0.04432765700348775,-0.1441279300183735,0.23801035276721305,0.14563392164012248,-0.24885268040692243,0.042478554816580465,0.40634113172817243,0.3648449298040951,-0.23083270260040548,-0.2189721760413579,1.0
