,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.4190968775997033,-0.002519332050111748,-0.12747809664657173,0.02640242647499877,0.02997813920720995,-0.03761381625950693,0.03716731488420036,-0.05628107724311381,0.05499034221439711,-0.020439237963145316,-0.10796379168687467,-0.002428738720874624,-0.11289100558203449,-0.020410209944240355
statusS,0.4190968775997033,1.0,-0.02138516143101799,-0.12464230980623334,0.01900941146248706,0.038199319538467655,0.006497440737920325,-0.009936143943167766,-0.08223228959217617,0.05990784520661376,-0.02600272645390579,-0.06335473300634344,-0.02107883422288173,-0.09743593998352162,-0.026027890876127342
tempC,-0.002519332050111748,-0.02138516143101799,1.0,0.16817331788839604,0.5270304678353558,0.12155974858427358,-0.8685532274062919,0.02841807166467986,-0.4304012922361245,-0.1899141391905471,0.9796926368009484,0.2723464605350911,0.9999244830302596,-0.002648272465988743,0.9796999944024316
windspeedKmph,-0.12747809664657173,-0.12464230980623334,0.16817331788839604,1.0,0.17218118166260807,0.010899019180834173,-0.34397729148718864,-0.01807148971705107,0.1540372909514334,-0.04259072493292193,0.10839665173298972,-0.28926324683905313,0.16852752400344045,0.9591564539973312,0.10843101100317526
cond,0.02640242647499877,0.01900941146248706,0.5270304678353558,0.17218118166260807,1.0,0.12335586190385711,-0.5603423149309181,-0.08362367713675238,-0.1348948994987349,0.04668380404228583,0.5077845819946929,-0.013610033466572817,0.5270520084992582,0.08613200987512393,0.5078007523036757
precipMM,0.02997813920720995,0.038199319538467655,0.12155974858427358,0.010899019180834173,0.12335586190385711,1.0,-0.007342763830999091,-0.5688496962030879,-0.31750262514423255,0.3985551028419557,0.15115757720272116,0.27730755019284625,0.12150936909792923,0.03623320598877225,0.15121150778605094
humidity,-0.03761381625950693,0.006497440737920325,-0.8685532274062919,-0.34397729148718864,-0.5603423149309181,-0.007342763830999091,1.0,-0.12234044924685784,0.20758545318939145,0.1757023685578908,-0.7932154339403448,0.15279532410446517,-0.8686568328408762,-0.1912267264985175,-0.7932113930929631
visibility,0.03716731488420036,-0.009936143943167766,0.02841807166467986,-0.01807148971705107,-0.08362367713675238,-0.5688496962030879,-0.12234044924685784,1.0,0.21827770471179478,-0.2819787852635851,-0.0013037112811797064,-0.19317247698863338,0.02847116490722359,-0.06703877007829052,-0.0012127265867761168
pressure,-0.05628107724311381,-0.08223228959217617,-0.4304012922361245,0.1540372909514334,-0.1348948994987349,-0.31750262514423255,0.20758545318939145,0.21827770471179478,1.0,-0.010750265131072304,-0.48342002103470444,-0.4531155932476464,-0.43024893529312724,0.18658676694832418,-0.4833845928570561
cloudcover,0.05499034221439711,0.05990784520661376,-0.1899141391905471,-0.04259072493292193,0.04668380404228583,0.3985551028419557,0.1757023685578908,-0.2819787852635851,-0.010750265131072304,1.0,-0.1793186545345889,-0.005033268152358664,-0.1896987743703112,0.05620404064984714,-0.17932099222005915
heatIndexC,-0.020439237963145316,-0.02600272645390579,0.9796926368009484,0.10839665173298972,0.5077845819946929,0.15115757720272116,-0.7932154339403448,-0.0013037112811797064,-0.48342002103470444,-0.1793186545345889,1.0,0.41185076856324,0.9796736142847743,-0.0626209271092567,0.9999944725931336
dewPointC,-0.10796379168687467,-0.06335473300634344,0.2723464605350911,-0.28926324683905313,-0.013610033466572817,0.27730755019284625,0.15279532410446517,-0.19317247698863338,-0.4531155932476464,-0.005033268152358664,0.41185076856324,1.0,0.2722914192667396,-0.3469142258968453,0.4118439942596701
windChillC,-0.002428738720874624,-0.02107883422288173,0.9999244830302596,0.16852752400344045,0.5270520084992582,0.12150936909792923,-0.8686568328408762,0.02847116490722359,-0.43024893529312724,-0.1896987743703112,0.9796736142847743,0.2722914192667396,1.0,-0.0023652174373922402,0.9796809703957989
windGustKmph,-0.11289100558203449,-0.09743593998352162,-0.002648272465988743,0.9591564539973312,0.08613200987512393,0.03623320598877225,-0.1912267264985175,-0.06703877007829052,0.18658676694832418,0.05620404064984714,-0.0626209271092567,-0.3469142258968453,-0.0023652174373922402,1.0,-0.06260481122639727
feelsLikeC,-0.020410209944240355,-0.026027890876127342,0.9796999944024316,0.10843101100317526,0.5078007523036757,0.15121150778605094,-0.7932113930929631,-0.0012127265867761168,-0.4833845928570561,-0.17932099222005915,0.9999944725931336,0.4118439942596701,0.9796809703957989,-0.06260481122639727,1.0
