,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.5659816468113127,-0.0008243511396149122,-0.0043334821397661445,0.021169152926245476,-0.010723895161822934,-0.027889836476479135,0.024354416341297817,-0.025029639991609884,-0.02282296128879384,-0.010923964940281168,-0.06941203854852407,-0.0006592782101991726,-0.0201327880886474,-0.0108915036362539
statusS,0.5659816468113127,1.0,0.011222026906900391,-0.005093219589400981,0.0353687714158827,0.031060119428515595,-0.027729539692464056,0.03210359011876993,-0.058819414128686645,0.010377443913524312,0.006248080955637349,-0.050914025035117966,0.011299930547335182,-0.02212175146198671,0.006249529473394452
tempC,-0.0008243511396149122,0.011222026906900391,1.0,0.16817331788839604,0.5270304678353558,0.12155974858427358,-0.8685532274062919,0.02841807166467986,-0.4304012922361245,-0.1899141391905471,0.9796926368009484,0.2723464605350911,0.9999244830302596,-0.002648272465988743,0.9796999944024316
windspeedKmph,-0.0043334821397661445,-0.005093219589400981,0.16817331788839604,1.0,0.17218118166260807,0.010899019180834173,-0.34397729148718864,-0.01807148971705107,0.1540372909514334,-0.04259072493292193,0.10839665173298972,-0.28926324683905313,0.16852752400344045,0.9591564539973312,0.10843101100317526
cond,0.021169152926245476,0.0353687714158827,0.5270304678353558,0.17218118166260807,1.0,0.12335586190385711,-0.5603423149309181,-0.08362367713675238,-0.1348948994987349,0.04668380404228583,0.5077845819946929,-0.013610033466572817,0.5270520084992582,0.08613200987512393,0.5078007523036757
precipMM,-0.010723895161822934,0.031060119428515595,0.12155974858427358,0.010899019180834173,0.12335586190385711,1.0,-0.007342763830999091,-0.5688496962030879,-0.31750262514423255,0.3985551028419557,0.15115757720272116,0.27730755019284625,0.12150936909792923,0.03623320598877225,0.15121150778605094
humidity,-0.027889836476479135,-0.027729539692464056,-0.8685532274062919,-0.34397729148718864,-0.5603423149309181,-0.007342763830999091,1.0,-0.12234044924685784,0.20758545318939145,0.1757023685578908,-0.7932154339403448,0.15279532410446517,-0.8686568328408762,-0.1912267264985175,-0.7932113930929631
visibility,0.024354416341297817,0.03210359011876993,0.02841807166467986,-0.01807148971705107,-0.08362367713675238,-0.5688496962030879,-0.12234044924685784,1.0,0.21827770471179478,-0.2819787852635851,-0.0013037112811797064,-0.19317247698863338,0.02847116490722359,-0.06703877007829052,-0.0012127265867761168
pressure,-0.025029639991609884,-0.058819414128686645,-0.4304012922361245,0.1540372909514334,-0.1348948994987349,-0.31750262514423255,0.20758545318939145,0.21827770471179478,1.0,-0.010750265131072304,-0.48342002103470444,-0.4531155932476464,-0.43024893529312724,0.18658676694832418,-0.4833845928570561
cloudcover,-0.02282296128879384,0.010377443913524312,-0.1899141391905471,-0.04259072493292193,0.04668380404228583,0.3985551028419557,0.1757023685578908,-0.2819787852635851,-0.010750265131072304,1.0,-0.1793186545345889,-0.005033268152358664,-0.1896987743703112,0.05620404064984714,-0.17932099222005915
heatIndexC,-0.010923964940281168,0.006248080955637349,0.9796926368009484,0.10839665173298972,0.5077845819946929,0.15115757720272116,-0.7932154339403448,-0.0013037112811797064,-0.48342002103470444,-0.1793186545345889,1.0,0.41185076856324,0.9796736142847743,-0.0626209271092567,0.9999944725931336
dewPointC,-0.06941203854852407,-0.050914025035117966,0.2723464605350911,-0.28926324683905313,-0.013610033466572817,0.27730755019284625,0.15279532410446517,-0.19317247698863338,-0.4531155932476464,-0.005033268152358664,0.41185076856324,1.0,0.2722914192667396,-0.3469142258968453,0.4118439942596701
windChillC,-0.0006592782101991726,0.011299930547335182,0.9999244830302596,0.16852752400344045,0.5270520084992582,0.12150936909792923,-0.8686568328408762,0.02847116490722359,-0.43024893529312724,-0.1896987743703112,0.9796736142847743,0.2722914192667396,1.0,-0.0023652174373922402,0.9796809703957989
windGustKmph,-0.0201327880886474,-0.02212175146198671,-0.002648272465988743,0.9591564539973312,0.08613200987512393,0.03623320598877225,-0.1912267264985175,-0.06703877007829052,0.18658676694832418,0.05620404064984714,-0.0626209271092567,-0.3469142258968453,-0.0023652174373922402,1.0,-0.06260481122639727
feelsLikeC,-0.0108915036362539,0.006249529473394452,0.9796999944024316,0.10843101100317526,0.5078007523036757,0.15121150778605094,-0.7932113930929631,-0.0012127265867761168,-0.4833845928570561,-0.17932099222005915,0.9999944725931336,0.4118439942596701,0.9796809703957989,-0.06260481122639727,1.0
