,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.3259171682138169,0.1901198198654483,0.1774718824270231,0.10282420994476905,-0.20773530615250144,0.11627114692435558,-0.03969306072757757,0.04841169614366458,-0.09587330292207467,-0.027303788074739502,0.05640418615221396
statusS,0.3259171682138169,1.0,0.062181338590332834,-0.012132850398224936,0.035317551571572486,-0.0697859392944068,0.059610447096342285,-0.07811435186714807,0.010543620086058058,-0.015196217696475965,-0.04280522779338612,-0.06249330746352323
temperatureC,0.1901198198654483,0.062181338590332834,1.0,0.37358248939709676,0.5636715365078545,-0.4968171231057635,-0.00046792541651343556,-0.0856149247303063,0.03802047721598461,0.010014182156207332,0.6013177981128511,-0.008713184592793648
dewpointC,0.1774718824270231,-0.012132850398224936,0.37358248939709676,1.0,0.2519391766000416,-0.6990632871249408,0.006309480308428887,0.29955358991320274,0.2801613662887132,-0.11207550015797209,0.0048845994306047635,0.24876144061635347
windspeedKMH,0.10282420994476905,0.035317551571572486,0.5636715365078545,0.2519391766000416,1.0,-0.39592501697240357,0.057630578960999344,0.10351213725982221,0.13254207732877543,-0.014689612522741518,0.45831441850603183,0.15899333284532724
pressureMB,-0.20773530615250144,-0.0697859392944068,-0.4968171231057635,-0.6990632871249408,-0.39592501697240357,1.0,0.07304421410031843,-0.24333859436503474,-0.25843739596547477,0.1071374241537482,-0.17947947400561345,-0.23078242982277086
pressureTendencyMB,0.11627114692435558,0.059610447096342285,-0.00046792541651343556,0.006309480308428887,0.057630578960999344,0.07304421410031843,1.0,0.037318284580497706,0.0010336880908728252,-0.07799955908122977,-0.041997309512546106,0.06384078476981073
cloudCoverOKTA,-0.03969306072757757,-0.07811435186714807,-0.0856149247303063,0.29955358991320274,0.10351213725982221,-0.24333859436503474,0.037318284580497706,1.0,0.7556936498061197,-0.17647791490864356,-0.023607410663459238,0.39401627088663504
lowCloudCoverOKTA,0.04841169614366458,0.010543620086058058,0.03802047721598461,0.2801613662887132,0.13254207732877543,-0.25843739596547477,0.0010336880908728252,0.7556936498061197,1.0,-0.08195393906242492,-0.021893211391267303,0.3422034848125602
HKm,-0.09587330292207467,-0.015196217696475965,0.010014182156207332,-0.11207550015797209,-0.014689612522741518,0.1071374241537482,-0.07799955908122977,-0.17647791490864356,-0.08195393906242492,1.0,0.10211715498182439,-0.2830565852926649
visibilityKM,-0.027303788074739502,-0.04280522779338612,0.6013177981128511,0.0048845994306047635,0.45831441850603183,-0.17947947400561345,-0.041997309512546106,-0.023607410663459238,-0.021893211391267303,0.10211715498182439,1.0,-0.08723731661746936
precipMM,0.05640418615221396,-0.06249330746352323,-0.008713184592793648,0.24876144061635347,0.15899333284532724,-0.23078242982277086,0.06384078476981073,0.39401627088663504,0.3422034848125602,-0.2830565852926649,-0.08723731661746936,1.0
