,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.22147915663044038,0.07574846012494137,0.004241372804902473,0.09098538271296636,-0.021864150168623225,-0.18819671455620396,-0.07521315121769284,-0.09701638745843903,0.07110774499795552,0.07275024714667071,-0.044747866939107074
statusS,0.22147915663044038,1.0,0.0032527820587981227,0.18721779519193774,-0.04313630141428091,-0.12127278111124125,0.08256875384754742,0.026600951217158584,-0.016891623279929137,-0.030945245131944386,-0.10553466602573466,0.07274267670025965
temperatureC,0.07574846012494137,0.0032527820587981227,1.0,0.3738278710076161,0.5638907805794404,-0.4972570097217202,-6.49237271545493e-05,-0.084893056926957,0.03880473805311959,0.009930522974161984,0.6015049055083429,-0.008525292815375424
dewpointC,0.004241372804902473,0.18721779519193774,0.3738278710076161,1.0,0.25206482833272686,-0.6991152562281175,0.006472753047811015,0.29973294114123156,0.2803630968518272,-0.11211072288986307,0.005140147580005898,0.24881145433608798
windspeedKMH,0.09098538271296636,-0.04313630141428091,0.5638907805794404,0.25206482833272686,1.0,-0.3962453596038558,0.05793164079019124,0.10402006037252878,0.1331209143530922,-0.014748895802535043,0.4585265183994697,0.15909820911993952
pressureMB,-0.021864150168623225,-0.12127278111124125,-0.4972570097217202,-0.6991152562281175,-0.3962453596038558,1.0,0.0725859123504924,-0.2438275082403103,-0.2590496530433101,0.10717603602186312,-0.17991882728182468,-0.23085756072190844
pressureTendencyMB,-0.18819671455620396,0.08256875384754742,-6.49237271545493e-05,0.006472753047811015,0.05793164079019124,0.0725859123504924,1.0,0.03767924736487923,0.0015138610409978926,-0.07803284746769265,-0.04169002863578262,0.0639286047531986
cloudCoverOKTA,-0.07521315121769284,0.026600951217158584,-0.084893056926957,0.29973294114123156,0.10402006037252878,-0.2438275082403103,0.03767924736487923,1.0,0.7558415254440086,-0.17647843217286366,-0.02309362665701607,0.39400490339086836
lowCloudCoverOKTA,-0.09701638745843903,-0.016891623279929137,0.03880473805311959,0.2803630968518272,0.1331209143530922,-0.2590496530433101,0.0015138610409978926,0.7558415254440086,1.0,-0.08200057613067362,-0.02129655983139137,0.3422202610562223
HKm,0.07110774499795552,-0.030945245131944386,0.009930522974161984,-0.11211072288986307,-0.014748895802535043,0.10717603602186312,-0.07803284746769265,-0.17647843217286366,-0.08200057613067362,1.0,0.102036033460733,-0.2830688427885838
visibilityKM,0.07275024714667071,-0.10553466602573466,0.6015049055083429,0.005140147580005898,0.4585265183994697,-0.17991882728182468,-0.04169002863578262,-0.02309362665701607,-0.02129655983139137,0.102036033460733,1.0,-0.08707526038773691
precipMM,-0.044747866939107074,0.07274267670025965,-0.008525292815375424,0.24881145433608798,0.15909820911993952,-0.23085756072190844,0.0639286047531986,0.39400490339086836,0.3422202610562223,-0.2830688427885838,-0.08707526038773691,1.0
