,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.07129656231870628,0.056925977201963324,0.15192144373467809,0.015998666268102774,-0.1566545700363827,0.08502283157410483,-0.0618766132300416,-0.019856063928237116,-0.06474549628964958,-0.1341430701897655,0.014428015694145221
statusS,0.07129656231870628,1.0,0.06451032351488148,0.041143858584006654,0.08273453310114187,-0.09978816800150489,-0.004949701051963648,0.003284813777291777,-7.904373381974857e-05,-0.0025596076218664587,-0.011502861706655697,-0.023289407000605392
temperatureC,0.056925977201963324,0.06451032351488148,1.0,0.37411611068436557,0.5641164344529561,-0.49769297179283656,0.0005597642928219674,-0.08415587246054769,0.039607163840105,0.009839394736133883,0.6016911378122782,-0.008335301941675251
dewpointC,0.15192144373467809,0.041143858584006654,0.37411611068436557,1.0,0.2522245161842106,-0.6992093796622422,0.006781084102598766,0.2999578560405304,0.2806226318424077,-0.11214666908087337,0.005439112486787811,0.2488686710349804
windspeedKMH,0.015998666268102774,0.08273453310114187,0.5641164344529561,0.2522245161842106,1.0,-0.396551733894373,0.05838614102118805,0.10452721891246754,0.1336988797035359,-0.014808113209621618,0.4587382678354406,0.15920295675051413
pressureMB,-0.1566545700363827,-0.09978816800150489,-0.49769297179283656,-0.6992093796622422,-0.396551733894373,1.0,0.07192609392355027,-0.24430080768077575,-0.2596458099747545,0.10721459450030299,-0.18034681252687865,-0.23093258223745908
pressureTendencyMB,0.08502283157410483,-0.004949701051963648,0.0005597642928219674,0.006781084102598766,0.05838614102118805,0.07192609392355027,1.0,0.038221417355716145,0.002229150870350119,-0.07807368145483382,-0.041232093261929746,0.06405828704514768
cloudCoverOKTA,-0.0618766132300416,0.003284813777291777,-0.08415587246054769,0.2999578560405304,0.10452721891246754,-0.24430080768077575,0.038221417355716145,1.0,0.7559891206716087,-0.17647893607430884,-0.022580577267987345,0.39399351860919385
lowCloudCoverOKTA,-0.019856063928237116,-7.904373381974857e-05,0.039607163840105,0.2806226318424077,0.1336988797035359,-0.2596458099747545,0.002229150870350119,0.7559891206716087,1.0,-0.08204715600423627,-0.020700766227037988,0.34223699495572557
HKm,-0.06474549628964958,-0.0025596076218664587,0.009839394736133883,-0.11214666908087337,-0.014808113209621618,0.10721459450030299,-0.07807368145483382,-0.17647893607430884,-0.08204715600423627,1.0,0.10195499951896274,-0.28308109068769277
visibilityKM,-0.1341430701897655,-0.011502861706655697,0.6016911378122782,0.005439112486787811,0.4587382678354406,-0.18034681252687865,-0.041232093261929746,-0.022580577267987345,-0.020700766227037988,0.10195499951896274,1.0,-0.0869133812373794
precipMM,0.014428015694145221,-0.023289407000605392,-0.008335301941675251,0.2488686710349804,0.15920295675051413,-0.23093258223745908,0.06405828704514768,0.39399351860919385,0.34223699495572557,-0.28308109068769277,-0.0869133812373794,1.0
