,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.15251310820466024,0.11615882041263542,0.004694883692506617,0.08325898689302516,0.016517559672857982,0.010539939829478708,-0.0032177990149281025,0.011553196337089837,-0.008693491490533533,0.061438478530440176,0.0068897137060861735
statusS,0.15251310820466024,1.0,0.23632811566101733,0.2526946284320047,0.18018177669901778,-0.16028811291508172,0.003797587428385374,0.14332383325548592,0.11607618498743989,-0.061702546175045,0.15688199593689697,0.11528239164282583
temperatureC,0.11615882041263542,0.23632811566101733,1.0,0.4209518822417361,0.4598288072597155,-0.4018894156192409,-0.20081370457151776,-0.13067182867512137,-0.009087838816201411,0.023082105421503966,0.511648252069781,-0.1439709766663636
dewpointC,0.004694883692506617,0.2526946284320047,0.4209518822417361,1.0,0.2542644645730286,-0.6646287659438229,-0.03302658936335752,0.2764630735619441,0.25592921437521915,-0.12462721876474193,-0.015262389014838732,0.23807837396920617
windspeedKMH,0.08325898689302516,0.18018177669901778,0.4598288072597155,0.2542644645730286,1.0,-0.3357462577045942,-0.120894018468304,0.15967935601156336,0.18241735977044282,-0.0663076054613795,0.29849262350763084,0.14569669372364752
pressureMB,0.016517559672857982,-0.16028811291508172,-0.4018894156192409,-0.6646287659438229,-0.3357462577045942,1.0,0.1970629461454156,-0.22769001554446014,-0.22689736416974018,0.13321645948577035,0.04106558880173235,-0.24914415413181557
pressureTendencyMB,0.010539939829478708,0.003797587428385374,-0.20081370457151776,-0.03302658936335752,-0.120894018468304,0.1970629461454156,1.0,-0.05216493609807534,-0.11607126667568497,-0.056386283630575934,-0.135711893494353,0.04255475573443994
cloudCoverOKTA,-0.0032177990149281025,0.14332383325548592,-0.13067182867512137,0.2764630735619441,0.15967935601156336,-0.22769001554446014,-0.05216493609807534,1.0,0.7472777122812327,-0.16028615251707312,-0.10843252634319943,0.4062030668162965
lowCloudCoverOKTA,0.011553196337089837,0.11607618498743989,-0.009087838816201411,0.25592921437521915,0.18241735977044282,-0.22689736416974018,-0.11607126667568497,0.7472777122812327,1.0,-0.08559299635548724,-0.11490774503760279,0.364701583234806
HKm,-0.008693491490533533,-0.061702546175045,0.023082105421503966,-0.12462721876474193,-0.0663076054613795,0.13321645948577035,-0.056386283630575934,-0.16028615251707312,-0.08559299635548724,1.0,0.10492362748112095,-0.23088929038598577
visibilityKM,0.061438478530440176,0.15688199593689697,0.511648252069781,-0.015262389014838732,0.29849262350763084,0.04106558880173235,-0.135711893494353,-0.10843252634319943,-0.11490774503760279,0.10492362748112095,1.0,-0.2189747227074556
precipMM,0.0068897137060861735,0.11528239164282583,-0.1439709766663636,0.23807837396920617,0.14569669372364752,-0.24914415413181557,0.04255475573443994,0.4062030668162965,0.364701583234806,-0.23088929038598577,-0.2189747227074556,1.0
