,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.5647711144124861,-0.007628360294485492,-0.15863089879050613,0.0441230931617384,0.10211738493351329,0.010659040751867431,-0.030213995295347,-0.027930687912579303,0.034561867222828446,0.03788198908645001,-0.0368054053248097
statusS,0.5647711144124861,1.0,0.029313664069813814,-0.10397066641872214,0.04776838058891659,0.06100816332997581,0.021599873329719067,-0.02894562520294385,-0.026944179339973055,0.01477298731833283,0.03152184460818873,-0.05007947899340359
temperatureC,-0.007628360294485492,0.029313664069813814,1.0,0.4209568518506949,0.45983211361435394,-0.40180694960637164,-0.20087025477093096,-0.13055408675290803,-0.008954833360332579,0.023096982528018378,0.5116508496825788,-0.14380152629622212
dewpointC,-0.15863089879050613,-0.10397066641872214,0.4209568518506949,1.0,0.2542699959134329,-0.6646605826261988,-0.03303303696654548,0.2764986558338376,0.2559622768403361,-0.12462652319987846,-0.015266326496928799,0.23814331029516816
windspeedKMH,0.0441230931617384,0.04776838058891659,0.45983211361435394,0.2542699959134329,1.0,-0.3357527651624118,-0.1209008682845069,0.15971632730335555,0.18245530183826184,-0.06630645701113529,0.2984832126801065,0.14575961770082027
pressureMB,0.10211738493351329,0.06100816332997581,-0.40180694960637164,-0.6646605826261988,-0.3357527651624118,1.0,0.1971250519841467,-0.2278744244331192,-0.2270761701690064,0.1332125365567779,0.041099602875001744,-0.24943776717962
pressureTendencyMB,0.010659040751867431,0.021599873329719067,-0.20087025477093096,-0.03303303696654548,-0.1209008682845069,0.1971250519841467,1.0,-0.052125082048956,-0.11603744359256803,-0.05638344071271964,-0.13572772766313804,0.04263343403353937
cloudCoverOKTA,-0.030213995295347,-0.02894562520294385,-0.13055408675290803,0.2764986558338376,0.15971632730335555,-0.2278744244331192,-0.052125082048956,1.0,0.7472379799735089,-0.1603111347061444,-0.10840798585872469,0.4060633354237972
lowCloudCoverOKTA,-0.027930687912579303,-0.026944179339973055,-0.008954833360332579,0.2559622768403361,0.18245530183826184,-0.2270761701690064,-0.11603744359256803,0.7472379799735089,1.0,-0.08561177013882097,-0.1148843850652937,0.36455620212765033
HKm,0.034561867222828446,0.01477298731833283,0.023096982528018378,-0.12462652319987846,-0.06630645701113529,0.1332125365567779,-0.05638344071271964,-0.1603111347061444,-0.08561177013882097,1.0,0.10492939651573946,-0.23094606831245382
visibilityKM,0.03788198908645001,0.03152184460818873,0.5116508496825788,-0.015266326496928799,0.2984832126801065,0.041099602875001744,-0.13572772766313804,-0.10840798585872469,-0.1148843850652937,0.10492939651573946,1.0,-0.21896824219256408
precipMM,-0.0368054053248097,-0.05007947899340359,-0.14380152629622212,0.23814331029516816,0.14575961770082027,-0.24943776717962,0.04263343403353937,0.4060633354237972,0.36455620212765033,-0.23094606831245382,-0.21896824219256408,1.0
