,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.2569631500742723,-0.19571222816746692,-0.03633735872158965,-0.09173865608997736,0.005455687393991464,0.14006431701041788,0.012211518637855714,-0.027768243277288197,0.05005882714779213,-0.2185019209614598,-0.21726173668928025,-0.19548468475804948,-0.0013054050708632148,-0.2185019209614598
statusS,0.2569631500742723,1.0,-0.2535616513934317,-0.1309646027990412,-0.10309045028573897,-0.12893658485806583,0.18014692954019354,0.11014369795724521,0.059070070093816006,-0.0318388898812571,-0.2555140526697974,-0.18951845253382865,-0.2538864076249344,-0.12162190616160366,-0.2555140526697974
tempC,-0.19571222816746692,-0.2535616513934317,1.0,0.058478796302906894,0.4519531815165185,-0.043676086806577724,-0.9144123133722906,0.07978590662689991,0.005305400844692072,-0.20621501813431675,0.9733028777412657,0.3441785201152165,0.9999024811629009,-0.0864919904060849,0.9733028777412657
windspeedKmph,-0.03633735872158965,-0.1309646027990412,0.058478796302906894,1.0,-0.07278852031662791,0.41414013606718275,-0.02320574412868612,-0.34103333054266677,-0.480625035569134,0.35938928767748674,0.046578423609902914,-0.031880969347548346,0.059292700748129167,0.9672085932936078,0.046578423609902914
cond,-0.09173865608997736,-0.10309045028573897,0.4519531815165185,-0.07278852031662791,1.0,-0.0511867488007628,-0.44041854524008356,-0.03622667363880991,0.029891450128185434,-0.1773784013122446,0.45338494089189313,0.14444047255960787,0.452331571663869,-0.1471562807490445,0.45338494089189313
precipMM,0.005455687393991464,-0.12893658485806583,-0.043676086806577724,0.41414013606718275,-0.0511867488007628,1.0,0.22521140341761606,-0.7978589060462513,-0.44516357605141427,0.5827249248655862,0.01973278985366117,0.34017506481577386,-0.04306635761041295,0.4955803939644874,0.01973278985366117
humidity,0.14006431701041788,0.18014692954019354,-0.9144123133722906,-0.02320574412868612,-0.44041854524008356,0.22521140341761606,1.0,-0.242379300232715,-0.10888760733029788,0.2748163152284037,-0.8527159743845099,-0.057372062070611504,-0.9142904315020067,0.12354396474702097,-0.8527159743845099
visibility,0.012211518637855714,0.11014369795724521,0.07978590662689991,-0.34103333054266677,-0.03622667363880991,-0.7978589060462513,-0.242379300232715,1.0,0.33236892372826354,-0.45930756751276364,0.01910467757715819,-0.2935981450451562,0.07918000458533711,-0.4161041455882536,0.01910467757715819
pressure,-0.027768243277288197,0.059070070093816006,0.005305400844692072,-0.480625035569134,0.029891450128185434,-0.44516357605141427,-0.10888760733029788,0.33236892372826354,1.0,-0.4439374222795095,-0.04572339256542602,-0.20804508705449276,0.004812542540017236,-0.4690492797036242,-0.04572339256542602
cloudcover,0.05005882714779213,-0.0318388898812571,-0.20621501813431675,0.35938928767748674,-0.1773784013122446,0.5827249248655862,0.2748163152284037,-0.45930756751276364,-0.4439374222795095,1.0,-0.1523202025037922,0.10338466969774839,-0.2055110302543824,0.41595239996844163,-0.1523202025037922
heatIndexC,-0.2185019209614598,-0.2555140526697974,0.9733028777412657,0.046578423609902914,0.45338494089189313,0.01973278985366117,-0.8527159743845099,0.01910467757715819,-0.04572339256542602,-0.1523202025037922,1.0,0.4938826477919001,0.9733527500630836,-0.09810573658474103,1.0
dewPointC,-0.21726173668928025,-0.18951845253382865,0.3441785201152165,-0.031880969347548346,0.14444047255960787,0.34017506481577386,-0.057372062070611504,-0.2935981450451562,-0.20804508705449276,0.10338466969774839,0.4938826477919001,1.0,0.3444646438511212,-0.06919448234716362,0.4938826477919001
windChillC,-0.19548468475804948,-0.2538864076249344,0.9999024811629009,0.059292700748129167,0.452331571663869,-0.04306635761041295,-0.9142904315020067,0.07918000458533711,0.004812542540017236,-0.2055110302543824,0.9733527500630836,0.3444646438511212,1.0,-0.08571601536805278,0.9733527500630836
windGustKmph,-0.0013054050708632148,-0.12162190616160366,-0.0864919904060849,0.9672085932936078,-0.1471562807490445,0.4955803939644874,0.12354396474702097,-0.4161041455882536,-0.4690492797036242,0.41595239996844163,-0.09810573658474103,-0.06919448234716362,-0.08571601536805278,1.0,-0.09810573658474103
feelsLikeC,-0.2185019209614598,-0.2555140526697974,0.9733028777412657,0.046578423609902914,0.45338494089189313,0.01973278985366117,-0.8527159743845099,0.01910467757715819,-0.04572339256542602,-0.1523202025037922,1.0,0.4938826477919001,0.9733527500630836,-0.09810573658474103,1.0
