,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.26020086255404995,-0.2986798971681012,-0.04701976841085621,-0.1782261332683858,0.03565256809304171,0.2810714264297737,-0.02757615712462336,-0.05944893182748134,0.03199524211676681,-0.30130588921265533,-0.1562673688221363,-0.2980507124547674,-0.0022807369581491527,-0.30130588921265533
statusS,0.26020086255404995,1.0,-0.2272635505251914,-0.10251456401436006,-0.08176110976222754,-0.08085767007341692,0.18761959253746385,0.09275951562782735,0.0778709155558975,0.02534382345185638,-0.2029776179846535,-0.0410948317426291,-0.2271019160986706,-0.09544649918514012,-0.2029776179846535
tempC,-0.2986798971681012,-0.2272635505251914,1.0,0.05871772161986739,0.4520408912420222,-0.044068848957991236,-0.9146138647543808,0.08006156377676216,0.005862155155670634,-0.20614553967505117,0.9732886820250966,0.34378774482677465,0.9999024437438683,-0.08619069579334213,0.9732886820250966
windspeedKmph,-0.04701976841085621,-0.10251456401436006,0.05871772161986739,1.0,-0.07276281757381739,0.4143692981490166,-0.0232067756057377,-0.3411726678440912,-0.4809993022802886,0.35936026338673566,0.04681580053379737,-0.03166269023577243,0.0595318507885383,0.9672115576216608,0.04681580053379737
cond,-0.1782261332683858,-0.08176110976222754,0.4520408912420222,-0.07276281757381739,1.0,-0.051209789039856485,-0.4404073362175673,-0.036219537473101755,0.029925212081868602,-0.17731863525109384,0.45348429991123845,0.14446865104284803,0.45241952277719927,-0.14713046289636397,0.45348429991123845
precipMM,0.03565256809304171,-0.08085767007341692,-0.044068848957991236,0.4143692981490166,-0.051209789039856485,1.0,0.22529703046564062,-0.7978556095876436,-0.4449643764208318,0.5828982231275232,0.019350109783557327,0.33993372310749725,-0.04345906968831803,0.49589178660323907,0.019350109783557327
humidity,0.2810714264297737,0.18761959253746385,-0.9146138647543808,-0.0232067756057377,-0.4404073362175673,0.22529703046564062,1.0,-0.24243236140199073,-0.10897069722159192,0.2748149184508901,-0.8529155272821761,-0.05732345321833948,-0.9144920544423589,0.12351963923924156,-0.8529155272821761
visibility,-0.02757615712462336,0.09275951562782735,0.08006156377676216,-0.3411726678440912,-0.036219537473101755,-0.7978556095876436,-0.24243236140199073,1.0,0.3322262822188429,-0.4594161289986232,0.019373771527909235,-0.29343918977253164,0.07945562146732717,-0.4162967663498697,0.019373771527909235
pressure,-0.05944893182748134,0.0778709155558975,0.005862155155670634,-0.4809993022802886,0.029925212081868602,-0.4449643764208318,-0.10897069722159192,0.3322262822188429,1.0,-0.4441945595667845,-0.045168370786131146,-0.20755490613655544,0.00536932386843916,-0.4695151700697984,-0.045168370786131146
cloudcover,0.03199524211676681,0.02534382345185638,-0.20614553967505117,0.35936026338673566,-0.17731863525109384,0.5828982231275232,0.2748149184508901,-0.4594161289986232,-0.4441945595667845,1.0,-0.15224088171230613,0.10354241532111723,-0.2054413929547035,0.4158967899537792,-0.15224088171230613
heatIndexC,-0.30130588921265533,-0.2029776179846535,0.9732886820250966,0.04681580053379737,0.45348429991123845,0.019350109783557327,-0.8529155272821761,0.019373771527909235,-0.045168370786131146,-0.15224088171230613,1.0,0.4935716854261782,0.9733385557014941,-0.09781325365863065,1.0
dewPointC,-0.1562673688221363,-0.0410948317426291,0.34378774482677465,-0.03166269023577243,0.14446865104284803,0.33993372310749725,-0.05732345321833948,-0.29343918977253164,-0.20755490613655544,0.10354241532111723,0.4935716854261782,1.0,0.3440739110533754,-0.06891665844537873,0.4935716854261782
windChillC,-0.2980507124547674,-0.2271019160986706,0.9999024437438683,0.0595318507885383,0.45241952277719927,-0.04345906968831803,-0.9144920544423589,0.07945562146732717,0.00536932386843916,-0.2054413929547035,0.9733385557014941,0.3440739110533754,1.0,-0.08541449177635159,0.9733385557014941
windGustKmph,-0.0022807369581491527,-0.09544649918514012,-0.08619069579334213,0.9672115576216608,-0.14713046289636397,0.49589178660323907,0.12351963923924156,-0.4162967663498697,-0.4695151700697984,0.4158967899537792,-0.09781325365863065,-0.06891665844537873,-0.08541449177635159,1.0,-0.09781325365863065
feelsLikeC,-0.30130588921265533,-0.2029776179846535,0.9732886820250966,0.04681580053379737,0.45348429991123845,0.019350109783557327,-0.8529155272821761,0.019373771527909235,-0.045168370786131146,-0.15224088171230613,1.0,0.4935716854261782,0.9733385557014941,-0.09781325365863065,1.0
