,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.08647885849481435,-0.03248975336949301,-0.011217323888365969,-0.036074166325754324,0.0334125760716588,-0.009340258336563148,-0.003506179509394507,-0.07636061251472681,0.0836306096358987,-0.051192603649208225,-0.10141978242121533,-0.03228884562045621,0.014006565072922179,-0.051178216339776754
statusS,0.08647885849481435,1.0,0.030312308340382923,-0.09951126299139408,0.015162224008590519,0.1274295440109347,-0.008689696886061115,-0.08847081087084475,-0.10849471394220639,0.09432811707163317,0.037662180962499556,0.07678171700904525,0.03075019743784396,-0.08969156498076114,0.03758067390176764
tempC,-0.03248975336949301,0.030312308340382923,1.0,0.14465538618509116,0.5218635984238675,0.12232109282197881,-0.867720005468367,0.03178747737019487,-0.42936894562115996,-0.18846928815872743,0.979893592623026,0.27869113483695096,0.9999231770377535,-0.02437580134083402,0.9799019727032455
windspeedKmph,-0.011217323888365969,-0.09951126299139408,0.14465538618509116,1.0,0.15100779119578286,0.010536500906212417,-0.32507049857481685,-0.014263739155604539,0.16601814148458152,-0.04012318162611235,0.08244050592663398,-0.3040869783770725,0.1450211429593834,0.9600927046153178,0.08247795997593256
cond,-0.036074166325754324,0.015162224008590519,0.5218635984238675,0.15100779119578286,1.0,0.12209934962361217,-0.5543406988021998,-0.08166212449773594,-0.13136717085728308,0.04646159130481584,0.5028564118977283,-0.009831456241413962,0.5218835177321376,0.06655997943614357,0.5028739443890035
precipMM,0.0334125760716588,0.1274295440109347,0.12232109282197881,0.010536500906212417,0.12209934962361217,1.0,-0.0002581186603857146,-0.5644005500148346,-0.32719200671731385,0.40143980371948434,0.15407090746291544,0.29140659684794046,0.122265394720577,0.03892876843684039,0.15412871332964231
humidity,-0.009340258336563148,-0.008689696886061115,-0.867720005468367,-0.32507049857481685,-0.5543406988021998,-0.0002581186603857146,1.0,-0.130835116538176,0.20508773942145483,0.17733321445931113,-0.7920437781104342,0.14921978857137927,-0.8678223576426616,-0.17395313472751234,-0.7920393432328001
visibility,-0.003506179509394507,-0.08847081087084475,0.03178747737019487,-0.014263739155604539,-0.08166212449773594,-0.5644005500148346,-0.130835116538176,1.0,0.22718804240639448,-0.2794312959471475,0.0013948869394954625,-0.19994644584023133,0.03184490476786459,-0.06739111672532294,0.0014933327384407619
pressure,-0.07636061251472681,-0.10849471394220639,-0.42936894562115996,0.16601814148458152,-0.13136717085728308,-0.32719200671731385,0.20508773942145483,0.22718804240639448,1.0,-0.022544750014601905,-0.48224918815841467,-0.45658121284869135,-0.4292108525919683,0.19629244226997,-0.4822105324585337
cloudcover,0.0836306096358987,0.09432811707163317,-0.18846928815872743,-0.04012318162611235,0.04646159130481584,0.40143980371948434,0.17733321445931113,-0.2794312959471475,-0.022544750014601905,1.0,-0.17765573155908151,-0.0005314737417119985,-0.18823667696675275,0.06000883521562644,-0.177657522544934
heatIndexC,-0.051192603649208225,0.037662180962499556,0.979893592623026,0.08244050592663398,0.5028564118977283,0.15407090746291544,-0.7920437781104342,0.0013948869394954625,-0.48224918815841467,-0.17765573155908151,1.0,0.41736800146626507,0.9798733516881262,-0.08642467131728515,0.9999937035150163
dewPointC,-0.10141978242121533,0.07678171700904525,0.27869113483695096,-0.3040869783770725,-0.009831456241413962,0.29140659684794046,0.14921978857137927,-0.19994644584023133,-0.45658121284869135,-0.0005314737417119985,0.41736800146626507,1.0,0.27864199718032373,-0.36193778340353333,0.41736026105165797
windChillC,-0.03228884562045621,0.03075019743784396,0.9999231770377535,0.1450211429593834,0.5218835177321376,0.122265394720577,-0.8678223576426616,0.03184490476786459,-0.4292108525919683,-0.18823667696675275,0.9798733516881262,0.27864199718032373,1.0,-0.02408404481547178,0.9798817300820025
windGustKmph,0.014006565072922179,-0.08969156498076114,-0.02437580134083402,0.9600927046153178,0.06655997943614357,0.03892876843684039,-0.17395313472751234,-0.06739111672532294,0.19629244226997,0.06000883521562644,-0.08642467131728515,-0.36193778340353333,-0.02408404481547178,1.0,-0.0864073021789708
feelsLikeC,-0.051178216339776754,0.03758067390176764,0.9799019727032455,0.08247795997593256,0.5028739443890035,0.15412871332964231,-0.7920393432328001,0.0014933327384407619,-0.4822105324585337,-0.177657522544934,0.9999937035150163,0.41736026105165797,0.9798817300820025,-0.0864073021789708,1.0
