,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.24213342428339854,0.008699909241864848,-0.0852911738431727,-0.029429106545542965,0.02550297208070541,-0.058610633391902374,0.03296750321812966,-0.05069919402485807,0.032503335579153976,-0.01670084160377068,-0.1432651132498784,0.00880851202562702,-0.08101139139532582,-0.01668408981456964
statusS,0.24213342428339854,1.0,-0.14822078188150126,-0.06989960500247974,-0.034228774792391684,0.02417522359393096,0.15484711566816378,-0.0342719120949155,-0.07588041766080354,0.12768733693845413,-0.12923358310409233,0.008313571401492486,-0.14819195678624528,-0.01912190796272902,-0.12923973868541253
tempC,0.008699909241864848,-0.14822078188150126,1.0,0.14472264908250831,0.5219000247601784,0.12267785784396175,-0.8677358742562594,0.03155850455378121,-0.42928145511593285,-0.18835299618385956,0.9798916823738468,0.27867128779503014,0.9999231666939294,-0.02421000424782277,0.9799000663322638
windspeedKmph,-0.0852911738431727,-0.06989960500247974,0.14472264908250831,1.0,0.1510077615335767,0.010298138175584563,-0.32513358461337055,-0.014052882489179533,0.16593269471817423,-0.040232083508242436,0.08252491584864079,-0.3041014051003589,0.14508839351902247,0.9601244669084448,0.08256237548202632
cond,-0.029429106545542965,-0.034228774792391684,0.5219000247601784,0.1510077615335767,1.0,0.12220031782713327,-0.5543685408822495,-0.08178548898463388,-0.13136815081709008,0.04647568628168153,0.5029001637981104,-0.009820169834639556,0.52191993539622,0.06658168484948039,0.502917699138512
precipMM,0.02550297208070541,0.02417522359393096,0.12267785784396175,0.010298138175584563,0.12220031782713327,1.0,-0.0005208972779707739,-0.564138348155483,-0.32784592182526867,0.4012800880362739,0.15451573983234326,0.29152684088373865,0.12262211286690433,0.03844492205675701,0.15457358595578552
humidity,-0.058610633391902374,0.15484711566816378,-0.8677358742562594,-0.32513358461337055,-0.5543685408822495,-0.0005208972779707739,1.0,-0.13068266828128627,0.20499702620729207,0.17724165620043958,-0.7920513995299121,0.14923837250668662,-0.8678381832745571,-0.1741190780682133,-0.7920469688805135
visibility,0.03296750321812966,-0.0342719120949155,0.03155850455378121,-0.014052882489179533,-0.08178548898463388,-0.564138348155483,-0.13068266828128627,1.0,0.22774399242792537,-0.27928693068205324,0.0010866035550435246,-0.20002017535935016,0.03161572452577437,-0.06698835819939503,0.0011851249667945948
pressure,-0.05069919402485807,-0.07588041766080354,-0.42928145511593285,0.16593269471817423,-0.13136815081709008,-0.32784592182526867,0.20499702620729207,0.22774399242792537,1.0,-0.022750449331643715,-0.48214301976576895,-0.4566382293472127,-0.42912321279866583,0.19607354130286514,-0.48210435071421026
cloudcover,0.032503335579153976,0.12768733693845413,-0.18835299618385956,-0.040232083508242436,0.04647568628168153,0.4012800880362739,0.17724165620043958,-0.27928693068205324,-0.022750449331643715,1.0,-0.17751455798119273,-0.0005291916784519237,-0.1881203877247935,0.05980372389427361,-0.17751636257108092
heatIndexC,-0.01670084160377068,-0.12923358310409233,0.9798916823738468,0.08252491584864079,0.5029001637981104,0.15451573983234326,-0.7920513995299121,0.0010866035550435246,-0.48214301976576895,-0.17751455798119273,1.0,0.4173724906350185,0.9798714505209258,-0.08623312517526234,0.9999937006065105
dewPointC,-0.1432651132498784,0.008313571401492486,0.27867128779503014,-0.3041014051003589,-0.009820169834639556,0.29152684088373865,0.14923837250668662,-0.20002017535935016,-0.4566382293472127,-0.0005291916784519237,0.4173724906350185,1.0,0.27862222283864996,-0.3619931990035207,0.41736474640315535
windChillC,0.00880851202562702,-0.14819195678624528,0.9999231666939294,0.14508839351902247,0.52191993539622,0.12262211286690433,-0.8678381832745571,0.03161572452577437,-0.42912321279866583,-0.1881203877247935,0.9798714505209258,0.27862222283864996,1.0,-0.023918194373224653,0.9798798327922291
windGustKmph,-0.08101139139532582,-0.01912190796272902,-0.02421000424782277,0.9601244669084448,0.06658168484948039,0.03844492205675701,-0.1741190780682133,-0.06698835819939503,0.19607354130286514,0.05980372389427361,-0.08623312517526234,-0.3619931990035207,-0.023918194373224653,1.0,-0.08621575608640437
feelsLikeC,-0.01668408981456964,-0.12923973868541253,0.9799000663322638,0.08256237548202632,0.502917699138512,0.15457358595578552,-0.7920469688805135,0.0011851249667945948,-0.48210435071421026,-0.17751636257108092,0.9999937006065105,0.41736474640315535,0.9798798327922291,-0.08621575608640437,1.0
