,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.16719520371597973,-0.2268377007864974,-0.15312781122834662,-0.20793895617475952,0.07260848790618565,0.27974014040167594,-0.03793343623913273,-0.14091506499128834,0.08296341105361894,-0.2038748078832838,0.05013608650519175,-0.22669444502651107,-0.08890383989937974,-0.20388611752511937
statusS,0.16719520371597973,1.0,-0.0656424604999047,0.003757826953185304,-0.04738779843329285,0.026739379973937126,0.0637564436798307,-0.032754988671436135,-0.030513142269779057,0.05147293826919799,-0.06307815786862996,-0.02766975788292477,-0.06541069737202403,0.025259621381495647,-0.06307146784491811
tempC,-0.2268377007864974,-0.0656424604999047,1.0,0.04052685567989189,0.5126916498500953,0.12687901555308848,-0.8132520297769489,-0.01928190594673988,-0.32005566674257874,-0.1255160971035145,0.9661579405052302,0.3108348307824107,0.999922603056017,-0.09573385681608636,0.9661593943471967
windspeedKmph,-0.15312781122834662,0.003757826953185304,0.04052685567989189,1.0,0.0291518783565131,0.0452177880556344,-0.22698567027629046,-0.07857830993688106,0.10611919667648864,0.035613320062438066,-0.03511053414610065,-0.3324088749333092,0.04106710062788991,0.9662042533127781,-0.03510127916370586
cond,-0.20793895617475952,-0.04738779843329285,0.5126916498500953,0.0291518783565131,1.0,0.09436098729421094,-0.47439699851628914,-0.09238192735989156,-0.12913609739493337,-0.004063590028559264,0.4958270678121184,0.09425691771739064,0.5127905209971155,-0.04258873000072177,0.49583309024318617
precipMM,0.07260848790618565,0.026739379973937126,0.12687901555308848,0.0452177880556344,0.09436098729421094,1.0,0.18057151838568716,-0.736817728205465,-0.5599637979892683,0.5355490588815942,0.22791456732992948,0.5225960309566623,0.12697774014424723,0.11386884249388625,0.22792626176909028
humidity,0.27974014040167594,0.0637564436798307,-0.8132520297769489,-0.22698567027629046,-0.47439699851628914,0.18057151838568716,1.0,-0.23690290143620532,-0.06329944305219666,0.2601958394104675,-0.6889943681444024,0.21209943411558535,-0.8133523992094239,-0.07742200723254583,-0.6889953494724187
visibility,-0.03793343623913273,-0.032754988671436135,-0.01928190594673988,-0.07857830993688106,-0.09238192735989156,-0.736817728205465,-0.23690290143620532,1.0,0.4210043208766369,-0.41972613170834117,-0.11096421527398466,-0.4062203557647737,-0.01941559045708371,-0.1533611628778061,-0.1109414162484366
pressure,-0.14091506499128834,-0.030513142269779057,-0.32005566674257874,0.10611919667648864,-0.12913609739493337,-0.5599637979892683,-0.06329944305219666,0.4210043208766369,1.0,-0.31312347658647405,-0.43640384147778305,-0.6438064406841594,-0.31996349038947264,0.09016062902551117,-0.43639535291669773
cloudcover,0.08296341105361894,0.05147293826919799,-0.1255160971035145,0.035613320062438066,-0.004063590028559264,0.5355490588815942,0.2601958394104675,-0.41972613170834117,-0.31312347658647405,1.0,-0.049407671860823316,0.23044801458590652,-0.12516435116898078,0.1247012663985275,-0.04940740030573271
heatIndexC,-0.2038748078832838,-0.06307815786862996,0.9661579405052302,-0.03511053414610065,0.4958270678121184,0.22791456732992948,-0.6889943681444024,-0.11096421527398466,-0.43640384147778305,-0.049407671860823316,1.0,0.502632172955637,0.9661350772134422,-0.15792305060372414,0.9999989163738215
dewPointC,0.05013608650519175,-0.02766975788292477,0.3108348307824107,-0.3324088749333092,0.09425691771739064,0.5225960309566623,0.21209943411558535,-0.4062203557647737,-0.6438064406841594,0.23044801458590652,0.502632172955637,1.0,0.3107790894882956,-0.3289863138550171,0.5026307693645484
windChillC,-0.22669444502651107,-0.06541069737202403,0.999922603056017,0.04106710062788991,0.5127905209971155,0.12697774014424723,-0.8133523992094239,-0.01941559045708371,-0.31996349038947264,-0.12516435116898078,0.9661350772134422,0.3107790894882956,1.0,-0.09526545653397372,0.9661365307676022
windGustKmph,-0.08890383989937974,0.025259621381495647,-0.09573385681608636,0.9662042533127781,-0.04258873000072177,0.11386884249388625,-0.07742200723254583,-0.1533611628778061,0.09016062902551117,0.1247012663985275,-0.15792305060372414,-0.3289863138550171,-0.09526545653397372,1.0,-0.15791924943403388
feelsLikeC,-0.20388611752511937,-0.06307146784491811,0.9661593943471967,-0.03510127916370586,0.49583309024318617,0.22792626176909028,-0.6889953494724187,-0.1109414162484366,-0.43639535291669773,-0.04940740030573271,0.9999989163738215,0.5026307693645484,0.9661365307676022,-0.15791924943403388,1.0
