,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.5648413028221202,-0.07745230013891725,0.026348409258677544,-0.006995525868470405,-0.06870169310898502,0.010872516286155853,0.0416541541647233,0.11093569247235822,-0.03834590204175052,-0.09876355806459622,-0.1438677347055397,-0.07725041187820487,0.022310296330985652,-0.09875455512015567
statusS,0.5648413028221202,1.0,-0.056236054525292484,0.026683024917346927,0.003915276715618413,-0.05715118915040716,0.008116553381866745,0.0566156174296781,0.06464302902825662,-0.016590455657987557,-0.0730439488998945,-0.11980345270091776,-0.056203100656695634,0.020023046720594247,-0.07304412982076987
tempC,-0.07745230013891725,-0.056236054525292484,1.0,0.0403623117217211,0.5126341306069099,0.126627937527434,-0.8131876976024041,-0.019271124075832882,-0.3202966199947239,-0.12563899734119283,0.9661688898872299,0.3109894131213259,0.9999226170058133,-0.09597356422542361,0.9661703429754995
windspeedKmph,0.026348409258677544,0.026683024917346927,0.0403623117217211,1.0,0.029147604989086175,0.045395314416678385,-0.2269334513899455,-0.07859801809526137,0.10630335375689462,0.035727741241056904,-0.035281712505384644,-0.3324852953282672,0.040902483818008505,0.9661932559036205,-0.0352724583494688
cond,-0.006995525868470405,0.003915276715618413,0.5126341306069099,0.029147604989086175,1.0,0.0943003258978303,-0.4743929270337477,-0.09233971469291734,-0.12912088905598054,-0.004102394132968906,0.4957567332411313,0.09423958430425156,0.5127329496350806,-0.042602740828734526,0.49576275453573154
precipMM,-0.06870169310898502,-0.05715118915040716,0.126627937527434,0.045395314416678385,0.0943003258978303,1.0,0.18063735811744563,-0.7367739610915922,-0.5594725525289049,0.5356066246803617,0.22758922973443355,0.5223298906392115,0.12672666739440552,0.1141458654745784,0.22760091773724783
humidity,0.010872516286155853,0.008116553381866745,-0.8131876976024041,-0.2269334513899455,-0.4743929270337477,0.18063735811744563,1.0,-0.23688837550329117,-0.06318731187160552,0.2602291318299815,-0.6889424519976451,0.2120254745990024,-0.813288051000228,-0.0773192326128526,-0.6889434303749159
visibility,0.0416541541647233,0.0566156174296781,-0.019271124075832882,-0.07859801809526137,-0.09233971469291734,-0.7367739610915922,-0.23688837550329117,1.0,0.4208435369468696,-0.41969744286630656,-0.11091641545581914,-0.4061415411173136,-0.01940478265908897,-0.15339639441269776,-0.11089362489958626
pressure,0.11093569247235822,0.06464302902825662,-0.3202966199947239,0.10630335375689462,-0.12912088905598054,-0.5594725525289049,-0.06318731187160552,0.4208435369468696,1.0,-0.31285836962790087,-0.4366338213401434,-0.6438655795529464,-0.32020462302870917,0.09044703804801565,-0.43662533526777003
cloudcover,-0.03834590204175052,-0.016590455657987557,-0.12563899734119283,0.035727741241056904,-0.004102394132968906,0.5356066246803617,0.2602291318299815,-0.41969744286630656,-0.31285836962790087,1.0,-0.04956544264129714,0.23031705305900438,-0.12528728064461953,0.12487175508009635,-0.049565166991581346
heatIndexC,-0.09876355806459622,-0.0730439488998945,0.9661688898872299,-0.035281712505384644,0.4957567332411313,0.22758922973443355,-0.6889424519976451,-0.11091641545581914,-0.4366338213401434,-0.04956544264129714,1.0,0.5027415360552916,0.966146048872262,-0.15817112043254283,0.9999989169303808
dewPointC,-0.1438677347055397,-0.11980345270091776,0.3109894131213259,-0.3324852953282672,0.09423958430425156,0.5223298906392115,0.2120254745990024,-0.4061415411173136,-0.6438655795529464,0.23031705305900438,0.5027415360552916,1.0,0.3109337039066013,-0.32908357464677335,0.502740133255602
windChillC,-0.07725041187820487,-0.056203100656695634,0.9999226170058133,0.040902483818008505,0.5127329496350806,0.12672666739440552,-0.813288051000228,-0.01940478265908897,-0.32020462302870917,-0.12528728064461953,0.966146048872262,0.3109337039066013,1.0,-0.09550527955371593,0.96614750167284
windGustKmph,0.022310296330985652,0.020023046720594247,-0.09597356422542361,0.9661932559036205,-0.042602740828734526,0.1141458654745784,-0.0773192326128526,-0.15339639441269776,0.09044703804801565,0.12487175508009635,-0.15817112043254283,-0.32908357464677335,-0.09550527955371593,1.0,-0.15816731927614616
feelsLikeC,-0.09875455512015567,-0.07304412982076987,0.9661703429754995,-0.0352724583494688,0.49576275453573154,0.22760091773724783,-0.6889434303749159,-0.11089362489958626,-0.43662533526777003,-0.049565166991581346,0.9999989169303808,0.502740133255602,0.96614750167284,-0.15816731927614616,1.0
