,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.19862143899961815,0.027913974206778824,0.01575046343819909,0.011284588932308924,-0.05875905418745531,-0.01567414582772723,0.030212381629635722,0.036985665739154905,0.009716663284206664,0.03244418955954423,-0.005531231315690357
statusS,0.19862143899961815,1.0,0.017737612728331728,0.005321079383739949,0.0065488240334876735,-0.012016761660409499,-0.012310560145133903,-0.03429599581245089,-0.03469278844380419,0.02383537281760472,-0.014623873404544591,-0.035792217771933664
temperatureC,0.027913974206778824,0.017737612728331728,1.0,0.22697581397677502,0.42629895319502414,-0.18598297134086886,-0.22602657962533584,-0.15257373684604114,-0.006905344447658006,0.08432122469763267,0.5903752043228908,-0.22347308312743094
dewpointC,0.01575046343819909,0.005321079383739949,0.22697581397677502,1.0,0.2711555858934778,-0.53160004589718,-0.004495045847661318,0.32962298412935837,0.32734261027403483,-0.08952629721043727,-0.032543230003654125,0.2262623595510166
windspeedKMH,0.011284588932308924,0.0065488240334876735,0.42629895319502414,0.2711555858934778,1.0,-0.34247487291461354,-0.10781880682034058,0.1593719663051235,0.1783247906640666,-0.05896117338239132,0.3074396552606377,0.14307863749240657
pressureMB,-0.05875905418745531,-0.012016761660409499,-0.18598297134086886,-0.53160004589718,-0.34247487291461354,1.0,0.20141199974821747,-0.307847178606277,-0.29763699272145383,0.1060005694094153,0.038824857410636494,-0.25838839776917544
pressureTendencyMB,-0.01567414582772723,-0.012310560145133903,-0.22602657962533584,-0.004495045847661318,-0.10781880682034058,0.20141199974821747,1.0,-0.03266198411544852,-0.08841451082264741,-0.07017731194041142,-0.14937813887541784,0.07272066548622252
cloudCoverOKTA,0.030212381629635722,-0.03429599581245089,-0.15257373684604114,0.32962298412935837,0.1593719663051235,-0.307847178606277,-0.03266198411544852,1.0,0.7162484421008131,-0.1894282422282905,-0.08588646955851748,0.43223236833011214
lowCloudCoverOKTA,0.036985665739154905,-0.03469278844380419,-0.006905344447658006,0.32734261027403483,0.1783247906640666,-0.29763699272145383,-0.08841451082264741,0.7162484421008131,1.0,-0.09833395091673756,-0.11150990827040771,0.3833449549919176
HKm,0.009716663284206664,0.02383537281760472,0.08432122469763267,-0.08952629721043727,-0.05896117338239132,0.1060005694094153,-0.07017731194041142,-0.1894282422282905,-0.09833395091673756,1.0,0.11952811704719718,-0.25651528793092737
visibilityKM,0.03244418955954423,-0.014623873404544591,0.5903752043228908,-0.032543230003654125,0.3074396552606377,0.038824857410636494,-0.14937813887541784,-0.08588646955851748,-0.11150990827040771,0.11952811704719718,1.0,-0.23554156652818573
precipMM,-0.005531231315690357,-0.035792217771933664,-0.22347308312743094,0.2262623595510166,0.14307863749240657,-0.25838839776917544,0.07272066548622252,0.43223236833011214,0.3833449549919176,-0.25651528793092737,-0.23554156652818573,1.0
