,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.09522914684861362,0.059289007307231884,-0.05921767898750558,0.05939748842232543,0.003369071135896651,-0.04846663580065999,0.019483884153909413,0.04173211858227335,-0.009523628503769673,0.06501411827370533,0.033750155003148666
statusS,0.09522914684861362,1.0,0.026719790128670526,-0.010961091927493033,-0.027849937751528744,0.046855107895497405,-0.009215697041076706,-0.03354322221815792,-0.060789812021225895,0.047354589651697095,0.05841591864687925,-0.012557230347816752
temperatureC,0.059289007307231884,0.026719790128670526,1.0,0.22710286265990773,0.42636916431452104,-0.18613545283915414,-0.22604440018558725,-0.15263493280526635,-0.006848756029388199,0.0842912304650412,0.5901474339033913,-0.2234034081297454
dewpointC,-0.05921767898750558,-0.010961091927493033,0.22710286265990773,1.0,0.27122606298256463,-0.5317146650828419,-0.0045733853565904465,0.3295423465554211,0.32737900091183497,-0.08954881982240158,-0.032673436357420635,0.22630252964661765
windspeedKMH,0.05939748842232543,-0.027849937751528744,0.42636916431452104,0.27122606298256463,1.0,-0.34254129648507203,-0.10785391801734827,0.15929947133774788,0.17835125701997204,-0.05897841829228785,0.30728598805899593,0.14311710500554153
pressureMB,0.003369071135896651,0.046855107895497405,-0.18613545283915414,-0.5317146650828419,-0.34254129648507203,1.0,0.20147596829553288,-0.30772768317567906,-0.2976477117322586,0.10602000397970766,0.0389717430691269,-0.25841856606491737
pressureTendencyMB,-0.04846663580065999,-0.009215697041076706,-0.22604440018558725,-0.0045733853565904465,-0.10785391801734827,0.20147596829553288,1.0,-0.03262553364524235,-0.08844422506025676,-0.0701650503728453,-0.1492996276276226,0.07268865488636736
cloudCoverOKTA,0.019483884153909413,-0.03354322221815792,-0.15263493280526635,0.3295423465554211,0.15929947133774788,-0.30772768317567906,-0.03262553364524235,1.0,0.7162038371019366,-0.18941360892654482,-0.0858177367729014,0.4321968100142257
lowCloudCoverOKTA,0.04173211858227335,-0.060789812021225895,-0.006848756029388199,0.32737900091183497,0.17835125701997204,-0.2976477117322586,-0.08844422506025676,0.7162038371019366,1.0,-0.09833865361879068,-0.11152538492226466,0.38333707248525034
HKm,-0.009523628503769673,0.047354589651697095,0.0842912304650412,-0.08954881982240158,-0.05897841829228785,0.10602000397970766,-0.0701650503728453,-0.18941360892654482,-0.09833865361879068,1.0,0.11954275174167532,-0.2565207548334348
visibilityKM,0.06501411827370533,0.05841591864687925,0.5901474339033913,-0.032673436357420635,0.30728598805899593,0.0389717430691269,-0.1492996276276226,-0.0858177367729014,-0.11152538492226466,0.11954275174167532,1.0,-0.23557524631153412
precipMM,0.033750155003148666,-0.012557230347816752,-0.2234034081297454,0.22630252964661765,0.14311710500554153,-0.25841856606491737,0.07268865488636736,0.4321968100142257,0.38333707248525034,-0.2565207548334348,-0.23557524631153412,1.0
