,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.10165936365574856,0.05466136922717996,0.041910897594378264,0.0028520796224988164,-0.04734543409281681,0.11028332048123983,0.07109988345772898,0.05602915286394901,-0.019325574312414863,0.12544941428005316,0.0310580218417274
statusS,0.10165936365574856,1.0,0.02575504389470609,-0.05246966074033782,0.02437486162026269,0.013438872355673172,0.0332324014262025,-0.01903213692944994,-0.014196716316082169,0.012113947871478748,0.029312310153376184,0.006666825086405102
temperatureC,0.05466136922717996,0.02575504389470609,1.0,0.22697581397677502,0.42629895319502414,-0.18598297134086886,-0.22602657962533584,-0.15257373684604114,-0.006905344447658006,0.08432122469763267,0.5903752043228908,-0.22347308312743094
dewpointC,0.041910897594378264,-0.05246966074033782,0.22697581397677502,1.0,0.2711555858934778,-0.53160004589718,-0.004495045847661318,0.32962298412935837,0.32734261027403483,-0.08952629721043727,-0.032543230003654125,0.2262623595510166
windspeedKMH,0.0028520796224988164,0.02437486162026269,0.42629895319502414,0.2711555858934778,1.0,-0.34247487291461354,-0.10781880682034058,0.1593719663051235,0.1783247906640666,-0.05896117338239132,0.3074396552606377,0.14307863749240657
pressureMB,-0.04734543409281681,0.013438872355673172,-0.18598297134086886,-0.53160004589718,-0.34247487291461354,1.0,0.20141199974821747,-0.307847178606277,-0.29763699272145383,0.1060005694094153,0.038824857410636494,-0.25838839776917544
pressureTendencyMB,0.11028332048123983,0.0332324014262025,-0.22602657962533584,-0.004495045847661318,-0.10781880682034058,0.20141199974821747,1.0,-0.03266198411544852,-0.08841451082264741,-0.07017731194041142,-0.14937813887541784,0.07272066548622252
cloudCoverOKTA,0.07109988345772898,-0.01903213692944994,-0.15257373684604114,0.32962298412935837,0.1593719663051235,-0.307847178606277,-0.03266198411544852,1.0,0.7162484421008131,-0.1894282422282905,-0.08588646955851748,0.43223236833011214
lowCloudCoverOKTA,0.05602915286394901,-0.014196716316082169,-0.006905344447658006,0.32734261027403483,0.1783247906640666,-0.29763699272145383,-0.08841451082264741,0.7162484421008131,1.0,-0.09833395091673756,-0.11150990827040771,0.3833449549919176
HKm,-0.019325574312414863,0.012113947871478748,0.08432122469763267,-0.08952629721043727,-0.05896117338239132,0.1060005694094153,-0.07017731194041142,-0.1894282422282905,-0.09833395091673756,1.0,0.11952811704719718,-0.25651528793092737
visibilityKM,0.12544941428005316,0.029312310153376184,0.5903752043228908,-0.032543230003654125,0.3074396552606377,0.038824857410636494,-0.14937813887541784,-0.08588646955851748,-0.11150990827040771,0.11952811704719718,1.0,-0.23554156652818573
precipMM,0.0310580218417274,0.006666825086405102,-0.22347308312743094,0.2262623595510166,0.14307863749240657,-0.25838839776917544,0.07272066548622252,0.43223236833011214,0.3833449549919176,-0.25651528793092737,-0.23554156652818573,1.0
