,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.2682134710655189,0.12656005552894548,0.351666689129407,0.07759974429466808,-0.3162707405144907,0.05869483369979314,0.1812087124946267,0.1791070807914016,-0.04614824045055338,0.02073874391995796,0.10169260320111081
statusS,0.2682134710655189,1.0,0.026354034644399144,-0.0885320138773909,0.0858275540944573,0.044250979364030066,0.03731753134501359,-0.007309015253333476,-0.012968752438631128,0.05224547257364583,0.07781819884270982,0.007007771537857941
temperatureC,0.12656005552894548,0.026354034644399144,1.0,0.22706173420019465,0.4263474036158917,-0.18608455677785185,-0.22603473764356527,-0.15261776621175924,-0.00686360864461694,0.08430110271527189,0.5902222005241802,-0.22342610244738695
dewpointC,0.351666689129407,-0.0885320138773909,0.22706173420019465,1.0,0.2712048340676122,-0.5316763371771898,-0.004543132761119887,0.32956559711972894,0.32736968961460405,-0.08954141013803418,-0.03263046905583906,0.22628925978117936
windspeedKMH,0.07759974429466808,0.0858275540944573,0.4263474036158917,0.2712048340676122,1.0,-0.3425204669578468,-0.10783942643436703,0.159319652268809,0.17834552428114137,-0.05897311434596837,0.30733409110464394,0.14310499629979082
pressureMB,-0.3162707405144907,0.044250979364030066,-0.18608455677785185,-0.5316763371771898,-0.3425204669578468,1.0,0.20144970076502028,-0.30776502281784685,-0.29764692043348817,0.1060134471733963,0.03892158615738437,-0.2584083226082643
pressureTendencyMB,0.05869483369979314,0.03731753134501359,-0.22603473764356527,-0.004543132761119887,-0.10783942643436703,0.20144970076502028,1.0,-0.032637841323911454,-0.08843458192082278,-0.0701697689375535,-0.1493301360805684,0.07270118034562745
cloudCoverOKTA,0.1812087124946267,-0.007309015253333476,-0.15261776621175924,0.32956559711972894,0.159319652268809,-0.30776502281784685,-0.032637841323911454,1.0,0.7162147092371002,-0.18941799449175883,-0.08583854136487548,0.43220779144628
lowCloudCoverOKTA,0.1791070807914016,-0.012968752438631128,-0.00686360864461694,0.32736968961460405,0.17834552428114137,-0.29764692043348817,-0.08843458192082278,0.7162147092371002,1.0,-0.09833744105672867,-0.1115225605989518,0.38334029203111947
HKm,-0.04614824045055338,0.05224547257364583,0.08430110271527189,-0.08954141013803418,-0.05897311434596837,0.1060134471733963,-0.0701697689375535,-0.18941799449175883,-0.09833744105672867,1.0,0.11953787409840903,-0.2565189327052969
visibilityKM,0.02073874391995796,0.07781819884270982,0.5902222005241802,-0.03263046905583906,0.30733409110464394,0.03892158615738437,-0.1493301360805684,-0.08583854136487548,-0.1115225605989518,0.11953787409840903,1.0,-0.23556402112356187
precipMM,0.10169260320111081,0.007007771537857941,-0.22342610244738695,0.22628925978117936,0.14310499629979082,-0.2584083226082643,0.07270118034562745,0.43220779144628,0.38334029203111947,-0.2565189327052969,-0.23556402112356187,1.0
