,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.5018347069551978,0.1800657724832699,0.05275429396101394,0.14955584178305892,-0.0434464212038749,-0.06009946090732846,0.0951894604657558,0.11492587300664511,,0.24195085238311487,0.009718168630375884
statusS,0.5018347069551978,1.0,0.11896169331883671,-0.008557558339876535,0.12703029108777458,-0.030139687913164535,-0.026379804343516246,0.053274654296633896,0.10053592934416583,,0.11511723267076328,-0.03233796970342921
temperatureC,0.1800657724832699,0.11896169331883671,1.0,0.502120659010851,0.5185754360535757,-0.5255423259842325,-0.21329231663557666,-0.18591696558020554,-0.030286234589158953,,0.5265297717500105,-0.13355577721981765
dewpointC,0.05275429396101394,-0.008557558339876535,0.502120659010851,1.0,0.11770317299278328,-0.5683268260748371,-0.07679571109350153,0.10895308826105346,0.15705517118844758,,0.11364186084013349,0.1311800171916635
windspeedKMH,0.14955584178305892,0.12703029108777458,0.5185754360535757,0.11770317299278328,1.0,-0.22947834442243664,-0.1476149892938038,0.04056920159990452,0.09786015082309872,,0.4313656627167209,0.045291954611790024
pressureMB,-0.0434464212038749,-0.030139687913164535,-0.5255423259842325,-0.5683268260748371,-0.22947834442243664,1.0,0.24810792375567498,0.03164071642531953,-0.05783211028264442,,-0.04547118723427544,-0.09048968655265034
pressureTendencyMB,-0.06009946090732846,-0.026379804343516246,-0.21329231663557666,-0.07679571109350153,-0.1476149892938038,0.24810792375567498,1.0,-0.08132593360539925,-0.14262682955347417,,-0.1501010955185468,-6.172314433493423e-05
cloudCoverOKTA,0.0951894604657558,0.053274654296633896,-0.18591696558020554,0.10895308826105346,0.04056920159990452,0.03164071642531953,-0.08132593360539925,1.0,0.7706187809268442,,-0.009814657865761698,0.30123359278127876
lowCloudCoverOKTA,0.11492587300664511,0.10053592934416583,-0.030286234589158953,0.15705517118844758,0.09786015082309872,-0.05783211028264442,-0.14262682955347417,0.7706187809268442,1.0,,0.029485255907211756,0.28235755263987544
HKm,,,,,,,,,,,,
visibilityKM,0.24195085238311487,0.11511723267076328,0.5265297717500105,0.11364186084013349,0.4313656627167209,-0.04547118723427544,-0.1501010955185468,-0.009814657865761698,0.029485255907211756,,1.0,-0.08799614132947207
precipMM,0.009718168630375884,-0.03233796970342921,-0.13355577721981765,0.1311800171916635,0.045291954611790024,-0.09048968655265034,-6.172314433493423e-05,0.30123359278127876,0.28235755263987544,,-0.08799614132947207,1.0
