,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.06742842059574866,0.01789614742853087,-0.07443076757330666,-0.004729083482036108,0.030779148309093028,0.02332405967398884,0.002616781624965935,0.008564029424689097,,0.010059896150836321,-0.012937989689513247
statusS,0.06742842059574866,1.0,0.020265432757095695,0.0022177936629215415,0.05114377197271028,0.009528646097438179,0.03483131259925706,0.02343906349628803,0.018942017297154716,,0.03146082964383036,0.02527088770892394
temperatureC,0.01789614742853087,0.020265432757095695,1.0,0.5024825236149872,0.5186356959579195,-0.5253430747785364,-0.21351617328428624,-0.18546884468326127,-0.02974236929100523,,0.5264968369101225,-0.13258076922236978
dewpointC,-0.07443076757330666,0.0022177936629215415,0.5024825236149872,1.0,0.11773032849242192,-0.5688225516123911,-0.0767173828166836,0.10866428452512222,0.15678787791489673,,0.11374377490399916,0.1306853930627298
windspeedKMH,-0.004729083482036108,0.05114377197271028,0.5186356959579195,0.11773032849242192,1.0,-0.22950483032043745,-0.14762830111931585,0.040637977755026006,0.09794641763321908,,0.4313511588548073,0.04551282681003447
pressureMB,0.030779148309093028,0.009528646097438179,-0.5253430747785364,-0.5688225516123911,-0.22950483032043745,1.0,0.2483706649910916,0.031009936761735087,-0.05851698716033322,,-0.045334042834763916,-0.09221834997117993
pressureTendencyMB,0.02332405967398884,0.03483131259925706,-0.21351617328428624,-0.0767173828166836,-0.14762830111931585,0.2483706649910916,1.0,-0.08115830861122403,-0.14248219754082134,,-0.15019047863393142,0.00041795798033817
cloudCoverOKTA,0.002616781624965935,0.02343906349628803,-0.18546884468326127,0.10866428452512222,0.040637977755026006,0.031009936761735087,-0.08115830861122403,1.0,0.7704474329718014,,-0.009626268570336926,0.30021019947520716
lowCloudCoverOKTA,0.008564029424689097,0.018942017297154716,-0.02974236929100523,0.15678787791489673,0.09794641763321908,-0.05851698716033322,-0.14248219754082134,0.7704474329718014,1.0,,0.02968527356121972,0.28131932970350554
HKm,,,,,,,,,,,,
visibilityKM,0.010059896150836321,0.03146082964383036,0.5264968369101225,0.11374377490399916,0.4313511588548073,-0.045334042834763916,-0.15019047863393142,-0.009626268570336926,0.02968527356121972,,1.0,-0.08774538427958871
precipMM,-0.012937989689513247,0.02527088770892394,-0.13258076922236978,0.1306853930627298,0.04551282681003447,-0.09221834997117993,0.00041795798033817,0.30021019947520716,0.28131932970350554,,-0.08774538427958871,1.0
