,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.5610286109676129,0.1757414326753597,-0.058703929130366005,0.06792098457665163,-0.05724094256706072,0.022781715404446966,0.04802635910164887,0.08840971438111095,0.001722314024057843,0.11751607281483767,0.017489113569901085
statusS,0.5610286109676129,1.0,0.12401075530933854,-0.029420900099683515,0.05318527392527306,-0.00335621442539733,0.002409989705346325,0.021417499856500308,0.06884127082183857,0.037807499646358995,0.1087324860668615,-0.013338965779202914
temperatureC,0.1757414326753597,0.12401075530933854,1.0,0.1884178457228263,0.33034043738977853,-0.056781227174671475,-0.17844835629907851,-0.2526235661004716,-0.1262880080086165,0.10268798028774677,0.5787076316456122,-0.2997908360652424
dewpointC,-0.058703929130366005,-0.029420900099683515,0.1884178457228263,1.0,0.3815263567888286,-0.32056348202370244,0.0010500804714232324,0.15178871709948052,0.16982229198730825,-0.031897808054333766,-0.044850069620423955,0.14864510266906217
windspeedKMH,0.06792098457665163,0.05318527392527306,0.33034043738977853,0.3815263567888286,1.0,-0.4422889714915536,-0.08360202691344483,0.22624461853644234,0.21102328845484297,-0.06457863242812432,0.16991959914386962,0.17848088521463948
pressureMB,-0.05724094256706072,-0.00335621442539733,-0.056781227174671475,-0.32056348202370244,-0.4422889714915536,1.0,0.19159143944722076,-0.22515242004942937,-0.23051277055021904,0.05854688888311016,0.07782390706955296,-0.223771100732361
pressureTendencyMB,0.022781715404446966,0.002409989705346325,-0.17844835629907851,0.0010500804714232324,-0.08360202691344483,0.19159143944722076,1.0,-0.0010069196684449975,-0.07549649049146374,-0.09393333493255132,-0.12113549897770651,0.0902674217882279
cloudCoverOKTA,0.04802635910164887,0.021417499856500308,-0.2526235661004716,0.15178871709948052,0.22624461853644234,-0.22515242004942937,-0.0010069196684449975,1.0,0.6818683834319844,-0.18758920729446718,-0.2166461896460359,0.46090531904660786
lowCloudCoverOKTA,0.08840971438111095,0.06884127082183857,-0.1262880080086165,0.16982229198730825,0.21102328845484297,-0.23051277055021904,-0.07549649049146374,0.6818683834319844,1.0,-0.07822262464574285,-0.2743372921878756,0.40738041635332123
HKm,0.001722314024057843,0.037807499646358995,0.10268798028774677,-0.031897808054333766,-0.06457863242812432,0.05854688888311016,-0.09393333493255132,-0.18758920729446718,-0.07822262464574285,1.0,0.14201444433844515,-0.24469168264787725
visibilityKM,0.11751607281483767,0.1087324860668615,0.5787076316456122,-0.044850069620423955,0.16991959914386962,0.07782390706955296,-0.12113549897770651,-0.2166461896460359,-0.2743372921878756,0.14201444433844515,1.0,-0.318514845365006
precipMM,0.017489113569901085,-0.013338965779202914,-0.2997908360652424,0.14864510266906217,0.17848088521463948,-0.223771100732361,0.0902674217882279,0.46090531904660786,0.40738041635332123,-0.24469168264787725,-0.318514845365006,1.0
