,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.34835116172761543,0.07930564286156812,0.10262199709330405,0.022042173374713415,-0.03640337715903764,0.03611798505178384,0.0422916184871415,0.06536765945978758,,0.05177129918060565,0.04222916710428864
statusS,0.34835116172761543,1.0,0.11520535888524563,0.06187864995998518,0.11235084053861286,-0.02073660605100732,0.042406286288681976,0.034060125470914644,0.06096911115200602,,0.11742543970912772,0.010972731795534438
temperatureC,0.07930564286156812,0.11520535888524563,1.0,0.5024003698950458,0.5186215660575901,-0.5253878363540807,-0.21346713582841675,-0.1855667056829878,-0.029860080228664106,,0.5265054427500621,-0.13279674841228115
dewpointC,0.10262199709330405,0.06187864995998518,0.5024003698950458,1.0,0.11772464898402625,-0.5687225391902895,-0.07673425630272786,0.1087242763515991,0.15684356989349665,,0.11371935486004096,0.13079060031232534
windspeedKMH,0.022042173374713415,0.11235084053861286,0.5186215660575901,0.11772464898402625,1.0,-0.22949972384983253,-0.1476257608728103,0.0406242177218225,0.09792915855690573,,0.431353550653107,0.045468125348566146
pressureMB,-0.03640337715903764,-0.02073660605100732,-0.5253878363540807,-0.5687225391902895,-0.22949972384983253,1.0,0.2483181311268708,0.03113435814733368,-0.05838180072359227,,-0.04536631039308604,-0.09187448922862308
pressureTendencyMB,0.03611798505178384,0.042406286288681976,-0.21346713582841675,-0.07673425630272786,-0.1476257608728103,0.2483181311268708,1.0,-0.08119301489005426,-0.14251230998934145,,-0.1501686957834596,0.00031828413452681656
cloudCoverOKTA,0.0422916184871415,0.034060125470914644,-0.1855667056829878,0.1087242763515991,0.0406242177218225,0.03113435814733368,-0.08119301489005426,1.0,0.7704817175058282,,-0.009670425093241088,0.3004156447525525
lowCloudCoverOKTA,0.06536765945978758,0.06096911115200602,-0.029860080228664106,0.15684356989349665,0.09792915855690573,-0.05838180072359227,-0.14251230998934145,0.7704817175058282,1.0,,0.02963878294427396,0.2815278150124429
HKm,,,,,,,,,,,,
visibilityKM,0.05177129918060565,0.11742543970912772,0.5265054427500621,0.11371935486004096,0.431353550653107,-0.04536631039308604,-0.1501686957834596,-0.009670425093241088,0.02963878294427396,,1.0,-0.08781007936048964
precipMM,0.04222916710428864,0.010972731795534438,-0.13279674841228115,0.13079060031232534,0.045468125348566146,-0.09187448922862308,0.00031828413452681656,0.3004156447525525,0.2815278150124429,,-0.08781007936048964,1.0
