,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.5771677654655258,-0.13447998893091187,0.054877889054332496,-0.05982792505044416,-0.14280413388840188,0.0014507140904456235,0.08434707293456307,0.23661962052439106,-0.09688775491596079,-0.18414010771015837,-0.2687188224732274,-0.13438107762482798,0.058283754711068565,-0.18413939750682418
statusS,0.5771677654655258,1.0,-0.09108831690387639,0.05049453870723981,-0.03410275319984073,-0.1222755767197831,-0.004429665946221937,0.09479924768798573,0.1651608056880338,-0.08314380206832762,-0.13478098202122404,-0.2177168262923909,-0.09097899018024283,0.05416633066318378,-0.13478048885307678
tempC,-0.13447998893091187,-0.09108831690387639,1.0,0.09557397484363236,0.5140371544296937,0.03195546895132589,-0.8598607302429757,0.036676510106406136,-0.1188306213425598,-0.11573678786723246,0.9564897976081648,0.14674192073827597,0.999929411819822,-0.031723574318117495,0.9564897994672646
windspeedKmph,0.054877889054332496,0.05049453870723981,0.09557397484363236,1.0,-0.026658494622017213,0.15543346024800908,-0.1954082194758152,-0.15904897817393315,-0.10855719369680407,0.08238767192032487,0.023021808067307557,-0.24937539220733487,0.09599076318480244,0.96924015992326,0.023021696315546864
cond,-0.05982792505044416,-0.03410275319984073,0.5140371544296937,-0.026658494622017213,1.0,0.0397444997368314,-0.4510139768714611,-0.07591101536489273,-0.06987158034849719,-0.04522572919901678,0.5124170951069956,0.09966125148870397,0.514289712438128,-0.09301245766659746,0.5124169607436495
precipMM,-0.14280413388840188,-0.1222755767197831,0.03195546895132589,0.15543346024800908,0.0397444997368314,1.0,0.24357106088579364,-0.7715857232908068,-0.540718673180122,0.5912775761479664,0.14405014707816827,0.5015259855462992,0.032240690367541174,0.24239659978402683,0.14405014692383064
humidity,0.0014507140904456235,-0.004429665946221937,-0.8598607302429757,-0.1954082194758152,-0.4510139768714611,0.24357106088579364,1.0,-0.2641029954869789,-0.17481841821318883,0.28469959505759884,-0.7340424168213281,0.2815708237405905,-0.8597789710039888,-0.051222151126719684,-0.7340419721924577
visibility,0.08434707293456307,0.09479924768798573,0.036676510106406136,-0.15904897817393315,-0.07591101536489273,-0.7715857232908068,-0.2641029954869789,1.0,0.41063499203396336,-0.45585719835876193,-0.06311549667810719,-0.4169673042377089,0.03633066634852373,-0.24295926357523295,-0.06311549661048423
pressure,0.23661962052439106,0.1651608056880338,-0.1188306213425598,-0.10855719369680407,-0.06987158034849719,-0.540718673180122,-0.17481841821318883,0.41063499203396336,1.0,-0.44600533525653185,-0.24486096638294283,-0.5297036901427071,-0.11903804722107246,-0.13097227203036288,-0.24486122692262471
cloudcover,-0.09688775491596079,-0.08314380206832762,-0.11573678786723246,0.08238767192032487,-0.04522572919901678,0.5912775761479664,0.28469959505759884,-0.45585719835876193,-0.44600533525653185,1.0,-0.019143261848069193,0.3169772746385262,-0.11550872073867001,0.16342612134598755,-0.019143868659541624
heatIndexC,-0.18414010771015837,-0.13478098202122404,0.9564897976081648,0.023021808067307557,0.5124170951069956,0.14405014707816827,-0.7340424168213281,-0.06311549667810719,-0.24486096638294283,-0.019143261848069193,1.0,0.38046657399360423,0.956537980240845,-0.0941042827489643,0.999999998928584
dewPointC,-0.2687188224732274,-0.2177168262923909,0.14674192073827597,-0.24937539220733487,0.09966125148870397,0.5015259855462992,0.2815708237405905,-0.4169673042377089,-0.5297036901427071,0.3169772746385262,0.38046657399360423,1.0,0.14689479219640733,-0.22665607120893352,0.3804665018211416
windChillC,-0.13438107762482798,-0.09097899018024283,0.999929411819822,0.09599076318480244,0.514289712438128,0.032240690367541174,-0.8597789710039888,0.03633066634852373,-0.11903804722107246,-0.11550872073867001,0.956537980240845,0.14689479219640733,1.0,-0.03133286403116129,0.9565379820998976
windGustKmph,0.058283754711068565,0.05416633066318378,-0.031723574318117495,0.96924015992326,-0.09301245766659746,0.24239659978402683,-0.051222151126719684,-0.24295926357523295,-0.13097227203036288,0.16342612134598755,-0.0941042827489643,-0.22665607120893352,-0.03133286403116129,1.0,-0.09410427587851197
feelsLikeC,-0.18413939750682418,-0.13478048885307678,0.9564897994672646,0.023021696315546864,0.5124169607436495,0.14405014692383064,-0.7340419721924577,-0.06311549661048423,-0.24486122692262471,-0.019143868659541624,0.999999998928584,0.3804665018211416,0.9565379820998976,-0.09410427587851197,1.0
