,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.23431201320753223,-0.361106859230383,-0.11913271290001728,-0.20688191155926008,-0.00203581598669198,0.34279876344516685,-0.045967409202190196,0.003087996508096651,0.06422285923104183,-0.34436345340361607,-0.058914525466877345,-0.3609703896006647,-0.010727257686348107,-0.3444856175798702
statusS,0.23431201320753223,1.0,-0.021487684697314883,-0.11254425982157841,0.0965465674140705,0.009775661079797137,0.11226919081810628,-0.024683138651200438,0.045355412069572776,0.06140861508331432,0.005553207601021854,0.12575474747391893,-0.02144875083218875,-0.09172572341333408,0.00588154095131045
tempC,-0.361106859230383,-0.021487684697314883,1.0,0.27000910426262004,0.4740819265553461,-0.06853879844922926,-0.8209716066983733,0.15270612615452583,-0.27969099405845277,-0.2720683572504261,0.9802955257504301,0.36017077615053994,0.9998714226030566,0.05119130341214403,0.9803354640062637
windspeedKmph,-0.11913271290001728,-0.11254425982157841,0.27000910426262004,1.0,0.24169668936304287,0.2054288888784835,-0.4046125139023504,-0.10182046228554492,-0.018802832299375443,0.03360760264819254,0.22509466641668274,-0.13617928277565924,0.27069103210069695,0.9426044866659491,0.22519349063465519
cond,-0.20688191155926008,0.0965465674140705,0.4740819265553461,0.24169668936304287,1.0,0.11565571169338598,-0.5092293491241918,-0.04981151200937304,-0.10392298749078348,0.05958873933983458,0.44973382868188405,-0.017643049472822758,0.47401100641654653,0.1472739686073227,0.44976446423041766
precipMM,-0.00203581598669198,0.009775661079797137,-0.06853879844922926,0.2054288888784835,0.11565571169338598,1.0,0.1471696798950201,-0.5653007178181879,-0.18379273633767196,0.4646443522725293,-0.03967060393857212,0.13285633906418826,-0.0684187574838729,0.2556938567797998,-0.03948047422841567
humidity,0.34279876344516685,0.11226919081810628,-0.8209716066983733,-0.4046125139023504,-0.5092293491241918,0.1471696798950201,1.0,-0.26208280160402925,0.09358078300159207,0.22928993912703935,-0.737910657194419,0.1452183168288863,-0.8212621134843661,-0.22651612862664275,-0.7379634187402534
visibility,-0.045967409202190196,-0.024683138651200438,0.15270612615452583,-0.10182046228554492,-0.04981151200937304,-0.5653007178181879,-0.26208280160402925,1.0,0.21553681511243036,-0.32868976584614296,0.10971224485177787,-0.15820522995992423,0.1528183117908622,-0.17411000715652697,0.11003208313901233
pressure,0.003087996508096651,0.045355412069572776,-0.27969099405845277,-0.018802832299375443,-0.10392298749078348,-0.18379273633767196,0.09358078300159207,0.21553681511243036,1.0,-0.07313643718750878,-0.3201434497216481,-0.30781890696203007,-0.27954490017325817,-0.004140502479124795,-0.3199257850007499
cloudcover,0.06422285923104183,0.06140861508331432,-0.2720683572504261,0.03360760264819254,0.05958873933983458,0.4646443522725293,0.22928993912703935,-0.32868976584614296,-0.07313643718750878,1.0,-0.25883862163428567,-0.08139485173571248,-0.27142716422777785,0.15381779138884108,-0.25880065385619205
heatIndexC,-0.34436345340361607,0.005553207601021854,0.9802955257504301,0.22509466641668274,0.44973382868188405,-0.03967060393857212,-0.737910657194419,0.10971224485177787,-0.3201434497216481,-0.25883862163428567,1.0,0.4875212539226766,0.9802133536757167,0.006528980959688725,0.9999697698681884
dewPointC,-0.058914525466877345,0.12575474747391893,0.36017077615053994,-0.13617928277565924,-0.017643049472822758,0.13285633906418826,0.1452183168288863,-0.15820522995992423,-0.30781890696203007,-0.08139485173571248,0.4875212539226766,1.0,0.35989304192435123,-0.22830538166611586,0.4875375243885429
windChillC,-0.3609703896006647,-0.02144875083218875,0.9998714226030566,0.27069103210069695,0.47401100641654653,-0.0684187574838729,-0.8212621134843661,0.1528183117908622,-0.27954490017325817,-0.27142716422777785,0.9802133536757167,0.35989304192435123,1.0,0.05178996586855597,0.9802532840240479
windGustKmph,-0.010727257686348107,-0.09172572341333408,0.05119130341214403,0.9426044866659491,0.1472739686073227,0.2556938567797998,-0.22651612862664275,-0.17411000715652697,-0.004140502479124795,0.15381779138884108,0.006528980959688725,-0.22830538166611586,0.05178996586855597,1.0,0.006532160568383362
feelsLikeC,-0.3444856175798702,0.00588154095131045,0.9803354640062637,0.22519349063465519,0.44976446423041766,-0.03948047422841567,-0.7379634187402534,0.11003208313901233,-0.3199257850007499,-0.25880065385619205,0.9999697698681884,0.4875375243885429,0.9802532840240479,0.006532160568383362,1.0
