,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.42813443864431466,-0.30670574723801036,-0.108773867044558,-0.2667603214138204,-0.10570141104310662,0.24720825172547264,0.06476613658799332,0.04832213663174673,-0.034157186265689955,-0.3122560547372763,-0.12723289424187711,-0.306872943329859,-0.07651167051515777,-0.31225619576055713
statusS,0.42813443864431466,1.0,-0.18639128259995713,-0.11599043333437045,-0.12570278601492052,-0.17189848573445116,0.11493926737571604,0.1369672862034567,0.09094869152998422,-0.1405223228287588,-0.20238444707853895,-0.16781831835456096,-0.18651496346859742,-0.1137658804549154,-0.20238356270221514
tempC,-0.30670574723801036,-0.18639128259995713,1.0,0.09543877349322873,0.5139575780938288,0.03219899669089318,-0.8597777145011298,0.03650421344685416,-0.11920457507602582,-0.11589508557288004,0.9565098462458033,0.1470295604882429,0.99992943782568,-0.031935779150298306,0.9565098481039339
windspeedKmph,-0.108773867044558,-0.11599043333437045,0.09543877349322873,1.0,-0.02666824210849629,0.15532998957491262,-0.19537489927591828,-0.15898529932053804,-0.10838850612781473,0.08244910359945562,0.02290448395022267,-0.24945569592325725,0.09585548828007992,0.9692303092951863,0.022904372262996853
cond,-0.2667603214138204,-0.12570278601492052,0.5139575780938288,-0.02666824210849629,1.0,0.03975102190070854,-0.4510061178010103,-0.07591461083307846,-0.06987499824418249,-0.04527942649779496,0.5123353241608483,0.09964359096779779,0.5142100141071088,-0.09301865383731107,0.5123351899112472
precipMM,-0.10570141104310662,-0.17189848573445116,0.03219899669089318,0.15532998957491262,0.03975102190070854,1.0,0.24346191813716594,-0.7715825255826237,-0.5408050204805097,0.5911060805409062,0.14426693976532284,0.5016171627939154,0.03248423015887091,0.2422223699941257,0.14426693961083178
humidity,0.24720825172547264,0.11493926737571604,-0.8597777145011298,-0.19537489927591828,-0.4510061178010103,0.24346191813716594,1.0,-0.26403409977403636,-0.17465683882853783,0.28474999183464056,-0.7339880796317433,0.2814311414994244,-0.859695931731223,-0.051150033522653696,-0.7339876350147307
visibility,0.06476613658799332,0.1369672862034567,0.03650421344685416,-0.15898529932053804,-0.07591461083307846,-0.7715825255826237,-0.26403409977403636,1.0,0.41069095964768443,-0.45574937871021504,-0.06326850797652998,-0.4170199162069991,0.03615836014148597,-0.24284896220157096,-0.06326850790877768
pressure,0.04832213663174673,0.09094869152998422,-0.11920457507602582,-0.10838850612781473,-0.06987499824418249,-0.5408050204805097,-0.17465683882853783,0.41069095964768443,1.0,-0.4457185103982887,-0.24519718762929976,-0.5298913191864346,-0.11941207998028579,-0.13070565303607135,-0.2451974483149069
cloudcover,-0.034157186265689955,-0.1405223228287588,-0.11589508557288004,0.08244910359945562,-0.04527942649779496,0.5911060805409062,0.28474999183464056,-0.45574937871021504,-0.4457185103982887,1.0,-0.019322325461620132,0.31678543946561216,-0.1156670362892805,0.1635330843297011,-0.019322931858084664
heatIndexC,-0.3122560547372763,-0.20238444707853895,0.9565098462458033,0.02290448395022267,0.5123353241608483,0.14426693976532284,-0.7339880796317433,-0.06326850797652998,-0.24519718762929976,-0.019322325461620132,1.0,0.38067559808048923,0.9565580211475935,-0.09429445402758817,0.9999999989291306
dewPointC,-0.12723289424187711,-0.16781831835456096,0.1470295604882429,-0.24945569592325725,0.09964359096779779,0.5016171627939154,0.2814311414994244,-0.4170199162069991,-0.5298913191864346,0.31678543946561216,0.38067559808048923,1.0,0.14718245333718535,-0.22680191819568357,0.38067552594510173
windChillC,-0.306872943329859,-0.18651496346859742,0.99992943782568,0.09585548828007992,0.5142100141071088,0.03248423015887091,-0.859695931731223,0.03615836014148597,-0.11941207998028579,-0.1156670362892805,0.9565580211475935,0.14718245333718535,1.0,-0.03154514550863029,0.9565580230056767
windGustKmph,-0.07651167051515777,-0.1137658804549154,-0.031935779150298306,0.9692303092951863,-0.09301865383731107,0.2422223699941257,-0.051150033522653696,-0.24284896220157096,-0.13070565303607135,0.1635330843297011,-0.09429445402758817,-0.22680191819568357,-0.03154514550863029,1.0,-0.09429444716043842
feelsLikeC,-0.31225619576055713,-0.20238356270221514,0.9565098481039339,0.022904372262996853,0.5123351899112472,0.14426693961083178,-0.7339876350147307,-0.06326850790877768,-0.2451974483149069,-0.019322931858084664,0.9999999989291306,0.38067552594510173,0.9565580230056767,-0.09429444716043842,1.0
