,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.6611925605792315,-0.24693723432654888,-0.10648099236177236,-0.12518396942279097,-0.013855862515379075,0.20148456831382755,-0.006848190406655574,-0.038790620168531416,0.07370740034198572,-0.2462582472116187,-0.08715269343956066,-0.24675519589474884,-0.02102695862978923,-0.24651641758711404
statusS,0.6611925605792315,1.0,-0.2724789110216611,-0.04218031713684761,-0.18981097147847303,0.014825604112782729,0.23794113750144286,-0.00435612997619623,-0.171570112196284,0.12511850587683135,-0.26762544575852637,-0.08137549059698093,-0.27245689767040066,0.06552659068377731,-0.267841356153813
tempC,-0.24693723432654888,-0.2724789110216611,1.0,0.2700861266494153,0.47418480256247697,-0.06810081421462197,-0.8210255159461561,0.1527786294960467,-0.27953413294613133,-0.2719648245173739,0.9803039435875783,0.3601201755293779,0.9998714241978754,0.05140074844037466,0.9803439264622461
windspeedKmph,-0.10648099236177236,-0.04218031713684761,0.2700861266494153,1.0,0.24163363602041577,0.2052595426190808,-0.40460851517543023,-0.10187214417562555,-0.019015561904216046,0.03345441053170979,0.22523628310451607,-0.1361608173036691,0.27076798096473165,0.9426677706672337,0.22533514300752874
cond,-0.12518396942279097,-0.18981097147847303,0.47418480256247697,0.24163363602041577,1.0,0.11564307250545641,-0.5092755324340227,-0.04986528853923318,-0.10406919591131096,0.0596080423600491,0.4498836992075303,-0.017622925620102012,0.4741138070699836,0.14717954741004788,0.44991434811911246
precipMM,-0.013855862515379075,0.014825604112782729,-0.06810081421462197,0.2052595426190808,0.11564307250545641,1.0,0.14701643415118987,-0.5660538050451916,-0.18523416951175933,0.46448462749979297,-0.038997597230618165,0.1330709816567084,-0.06798053481385427,0.25501316047396017,-0.03880712261453243
humidity,0.20148456831382755,0.23794113750144286,-0.8210255159461561,-0.40460851517543023,-0.5092755324340227,0.14701643415118987,1.0,-0.26214306787927383,0.0935057076196269,0.22923519029781372,-0.7379868641138011,0.14525784303791658,-0.8213158447644188,-0.22663195211445142,-0.7380396979591686
visibility,-0.006848190406655574,-0.00435612997619623,0.1527786294960467,-0.10187214417562555,-0.04986528853923318,-0.5660538050451916,-0.26214306787927383,1.0,0.21547268969283165,-0.32876598460466905,0.10983323777463783,-0.15820211448790383,0.15289088996602984,-0.17422298516864426,0.11015326604665
pressure,-0.038790620168531416,-0.171570112196284,-0.27953413294613133,-0.019015561904216046,-0.10406919591131096,-0.18523416951175933,0.0935057076196269,0.21547268969283165,1.0,-0.07352926888023467,-0.3198712585127887,-0.3078549036182533,-0.2793881097980048,-0.0046871185981690175,-0.31965342676893965
cloudcover,0.07370740034198572,0.12511850587683135,-0.2719648245173739,0.03345441053170979,0.0596080423600491,0.46448462749979297,0.22923519029781372,-0.32876598460466905,-0.07352926888023467,1.0,-0.2586884338296568,-0.08141140815761232,-0.2713233144975135,0.15354848094983456,-0.2586504753895135
heatIndexC,-0.2462582472116187,-0.26762544575852637,0.9803039435875783,0.22523628310451607,0.4498836992075303,-0.038997597230618165,-0.7379868641138011,0.10983323777463783,-0.3198712585127887,-0.2586884338296568,1.0,0.48748283475676935,0.9802219156335825,0.006833054024285998,0.9999697358719246
dewPointC,-0.08715269343956066,-0.08137549059698093,0.3601201755293779,-0.1361608173036691,-0.017622925620102012,0.1330709816567084,0.14525784303791658,-0.15820211448790383,-0.3078549036182533,-0.08141140815761232,0.48748283475676935,1.0,0.3598427711957451,-0.22833064134755093,0.4874991193747481
windChillC,-0.24675519589474884,-0.27245689767040066,0.9998714241978754,0.27076798096473165,0.4741138070699836,-0.06798053481385427,-0.8213158447644188,0.15289088996602984,-0.2793881097980048,-0.2713233144975135,0.9802219156335825,0.3598427711957451,1.0,0.051999282000294626,0.980261890593316
windGustKmph,-0.02102695862978923,0.06552659068377731,0.05140074844037466,0.9426677706672337,0.14717954741004788,0.25501316047396017,-0.22663195211445142,-0.17422298516864426,-0.0046871185981690175,0.15354848094983456,0.006833054024285998,-0.22833064134755093,0.051999282000294626,1.0,0.006836213455352513
feelsLikeC,-0.24651641758711404,-0.267841356153813,0.9803439264622461,0.22533514300752874,0.44991434811911246,-0.03880712261453243,-0.7380396979591686,0.11015326604665,-0.31965342676893965,-0.2586504753895135,0.9999697358719246,0.4874991193747481,0.980261890593316,0.006836213455352513,1.0
