,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.42821602633200423,0.0865335713654254,-0.049644414373426385,0.028589655641922923,0.06920691300284809,-0.03230041537551407,0.047108352877324546,0.04752390161421848,0.003538338401680954,0.1579472252665056,-0.005864395539246441
statusS,0.42821602633200423,1.0,0.20305399252758194,-0.0833052490752263,0.08752194860362855,0.05035304999017334,-0.06664091408510228,-0.025723007794480456,-0.015346856997721599,0.010195286287597237,0.19330250358149076,-0.04622121097087099
temperatureC,0.0865335713654254,0.20305399252758194,1.0,0.22729175512618086,0.42645377896771014,-0.18638834877595034,-0.22613613728384407,-0.15267540371141686,-0.006831646855743235,0.08424508532329152,0.5897927531384637,-0.22329733598902007
dewpointC,-0.049644414373426385,-0.0833052490752263,0.22729175512618086,1.0,0.27129981412037846,-0.5319051925898926,-0.004783389566257054,0.3294756064868696,0.3273844533090577,-0.08958509123908613,-0.03288315106678852,0.22636815927754456
windspeedKMH,0.028589655641922923,0.08752194860362855,0.42645377896771014,0.27129981412037846,1.0,-0.3426189381470639,-0.10794992604160746,0.1592452406299396,0.17834408263431162,-0.058998979625435925,0.3070909765780411,0.1431673747531997
pressureMB,0.06920691300284809,0.05035304999017334,-0.18638834877595034,-0.5319051925898926,-0.3426189381470639,1.0,0.20168727837658407,-0.30758145561135175,-0.2975996605028936,0.10605368553533569,0.039239365343435584,-0.25847171131288
pressureTendencyMB,-0.03230041537551407,-0.06664091408510228,-0.22613613728384407,-0.004783389566257054,-0.10794992604160746,0.20168727837658407,1.0,-0.03258029119078259,-0.08846320503395294,-0.07012763401763512,-0.14908124332277423,0.07260053754461725
cloudCoverOKTA,0.047108352877324546,-0.025723007794480456,-0.15267540371141686,0.3294756064868696,0.1592452406299396,-0.30758145561135175,-0.03258029119078259,1.0,0.7161853250491483,-0.1893990887102158,-0.0857449930250547,0.43215491325107347
lowCloudCoverOKTA,0.04752390161421848,-0.015346856997721599,-0.006831646855743235,0.3273844533090577,0.17834408263431162,-0.2975996605028936,-0.08846320503395294,0.7161853250491483,1.0,-0.09833935381625698,-0.11150486255083411,0.38331205127447987
HKm,0.003538338401680954,0.010195286287597237,0.08424508532329152,-0.08958509123908613,-0.058998979625435925,0.10605368553533569,-0.07012763401763512,-0.1893990887102158,-0.09833935381625698,1.0,0.11956713113880976,-0.25652986288463375
visibilityKM,0.1579472252665056,0.19330250358149076,0.5897927531384637,-0.03288315106678852,0.3070909765780411,0.039239365343435584,-0.14908124332277423,-0.0857449930250547,-0.11150486255083411,0.11956713113880976,1.0,-0.23563135116455847
precipMM,-0.005864395539246441,-0.04622121097087099,-0.22329733598902007,0.22636815927754456,0.1431673747531997,-0.25847171131288,0.07260053754461725,0.43215491325107347,0.38331205127447987,-0.25652986288463375,-0.23563135116455847,1.0
